ENSSTOP00000016128 ENSSTOP00000005301
ENSSTOP00000016128 ENSSTOP00000020448
ENSSTOP00000016128 ENSSTOP00000015878
ENSSTOP00000016128 ENSSTOP00000015707
ENSSTOP00000016128 ENSSTOP00000009472
ENSSTOP00000016128 ENSSTOP00000022789
ENSSTOP00000016128 ENSSTOP00000019048
ENSSTOP00000016128 ENSSTOP00000022793
ENSSTOP00000016128 ENSSTOP00000005613
ENSSTOP00000016128 ENSSTOP00000019111
ENSSTOP00000016521 ENSSTOP00000004661
ENSSTOP00000016809 ENSSTOP00000015764
ENSSTOP00000016809 ENSSTOP00000018805
ENSSTOP00000016809 ENSSTOP00000017456
ENSSTOP00000016809 ENSSTOP00000020318
ENSSTOP00000016809 ENSSTOP00000018670
ENSSTOP00000016809 ENSSTOP00000017567
ENSSTOP00000016824 ENSSTOP00000014633
ENSSTOP00000016824 ENSSTOP00000023145
ENSSTOP00000016824 ENSSTOP00000012851
ENSSTOP00000016841 ENSSTOP00000014633
ENSSTOP00000016841 ENSSTOP00000023145
ENSSTOP00000016841 ENSSTOP00000012851
ENSSTOP00000017089 ENSSTOP00000021399
ENSSTOP00000017456 ENSSTOP00000015764
ENSSTOP00000017456 ENSSTOP00000018805
ENSSTOP00000017456 ENSSTOP00000020318
ENSSTOP00000017456 ENSSTOP00000018670
ENSSTOP00000017456 ENSSTOP00000016809
ENSSTOP00000017456 ENSSTOP00000017567
ENSSTOP00000017471 ENSSTOP00000010423
ENSSTOP00000017471 ENSSTOP00000023145
ENSSTOP00000017567 ENSSTOP00000022944
ENSSTOP00000017567 ENSSTOP00000020026
ENSSTOP00000017567 ENSSTOP00000019780
ENSSTOP00000017567 ENSSTOP00000015764
ENSSTOP00000017567 ENSSTOP00000021304
ENSSTOP00000017567 ENSSTOP00000017456
ENSSTOP00000017567 ENSSTOP00000020318
ENSSTOP00000017567 ENSSTOP00000018670
ENSSTOP00000017567 ENSSTOP00000023122
ENSSTOP00000017567 ENSSTOP00000016809
ENSSTOP00000017575 ENSSTOP00000015878
ENSSTOP00000017575 ENSSTOP00000002981
ENSSTOP00000017575 ENSSTOP00000019111
ENSSTOP00000017575 ENSSTOP00000020448
ENSSTOP00000017575 ENSSTOP00000006185
ENSSTOP00000017575 ENSSTOP00000015577
ENSSTOP00000017575 ENSSTOP00000008053
ENSSTOP00000017575 ENSSTOP00000015707
ENSSTOP00000017575 ENSSTOP00000006073
ENSSTOP00000017575 ENSSTOP00000005301
ENSSTOP00000017575 ENSSTOP00000022793
ENSSTOP00000018206 ENSSTOP00000015190
ENSSTOP00000018462 ENSSTOP00000008935
ENSSTOP00000018462 ENSSTOP00000003993
ENSSTOP00000018670 ENSSTOP00000020318
ENSSTOP00000018670 ENSSTOP00000015764
ENSSTOP00000018670 ENSSTOP00000017456
ENSSTOP00000018670 ENSSTOP00000016809
ENSSTOP00000018670 ENSSTOP00000017567
ENSSTOP00000018805 ENSSTOP00000015764
ENSSTOP00000018805 ENSSTOP00000017456
ENSSTOP00000018805 ENSSTOP00000016809
ENSSTOP00000019048 ENSSTOP00000019111
ENSSTOP00000019048 ENSSTOP00000016128
ENSSTOP00000019048 ENSSTOP00000022003
ENSSTOP00000019048 ENSSTOP00000006073
ENSSTOP00000019048 ENSSTOP00000008053
ENSSTOP00000019048 ENSSTOP00000006185
ENSSTOP00000019048 ENSSTOP00000009472
ENSSTOP00000019048 ENSSTOP00000022789
ENSSTOP00000019048 ENSSTOP00000015878
ENSSTOP00000019048 ENSSTOP00000015707
ENSSTOP00000019048 ENSSTOP00000022793
ENSSTOP00000019111 ENSSTOP00000023869
ENSSTOP00000019111 ENSSTOP00000022003
ENSSTOP00000019111 ENSSTOP00000006073
ENSSTOP00000019111 ENSSTOP00000001402
ENSSTOP00000019111 ENSSTOP00000008053
ENSSTOP00000019111 ENSSTOP00000005301
ENSSTOP00000019111 ENSSTOP00000015577
ENSSTOP00000019111 ENSSTOP00000006185
ENSSTOP00000019111 ENSSTOP00000020448
ENSSTOP00000019111 ENSSTOP00000015878
ENSSTOP00000019111 ENSSTOP00000015707
ENSSTOP00000019111 ENSSTOP00000022789
ENSSTOP00000019111 ENSSTOP00000009472
ENSSTOP00000019111 ENSSTOP00000022793
ENSSTOP00000019111 ENSSTOP00000019048
ENSSTOP00000019111 ENSSTOP00000017575
ENSSTOP00000019111 ENSSTOP00000005613
ENSSTOP00000019111 ENSSTOP00000002981
ENSSTOP00000019111 ENSSTOP00000016128
ENSSTOP00000019463 ENSSTOP00000007045
ENSSTOP00000019463 ENSSTOP00000004558
ENSSTOP00000019463 ENSSTOP00000004191
ENSSTOP00000019463 ENSSTOP00000006373
ENSSTOP00000019463 ENSSTOP00000008580
ENSSTOP00000019463 ENSSTOP00000015324
ENSSTOP00000019780 ENSSTOP00000020318
ENSSTOP00000019780 ENSSTOP00000017567
ENSSTOP00000019780 ENSSTOP00000022944
ENSSTOP00000019890 ENSSTOP00000014223
ENSSTOP00000020023 ENSSTOP00000005323
ENSSTOP00000020023 ENSSTOP00000022397
ENSSTOP00000020026 ENSSTOP00000020318
ENSSTOP00000020026 ENSSTOP00000023122
ENSSTOP00000020026 ENSSTOP00000017567
ENSSTOP00000020026 ENSSTOP00000021304
ENSSTOP00000020072 ENSSTOP00000013156
ENSSTOP00000020247 ENSSTOP00000006801
ENSSTOP00000020318 ENSSTOP00000019780
ENSSTOP00000020318 ENSSTOP00000015764
ENSSTOP00000020318 ENSSTOP00000017456
ENSSTOP00000020318 ENSSTOP00000018670
ENSSTOP00000020318 ENSSTOP00000023122
ENSSTOP00000020318 ENSSTOP00000016809
ENSSTOP00000020318 ENSSTOP00000017567
ENSSTOP00000020318 ENSSTOP00000021304
ENSSTOP00000020318 ENSSTOP00000022944
ENSSTOP00000020318 ENSSTOP00000020026
ENSSTOP00000020448 ENSSTOP00000015878
ENSSTOP00000020448 ENSSTOP00000015707
ENSSTOP00000020448 ENSSTOP00000002981
ENSSTOP00000020448 ENSSTOP00000015577
ENSSTOP00000020448 ENSSTOP00000008053
ENSSTOP00000020448 ENSSTOP00000022793
ENSSTOP00000020448 ENSSTOP00000017575
ENSSTOP00000020448 ENSSTOP00000019111
ENSSTOP00000020448 ENSSTOP00000016128
ENSSTOP00000020448 ENSSTOP00000006073
ENSSTOP00000020448 ENSSTOP00000006185
ENSSTOP00000020448 ENSSTOP00000005301
ENSSTOP00000020533 ENSSTOP00000006615
ENSSTOP00000020533 ENSSTOP00000006997
ENSSTOP00000020533 ENSSTOP00000023466
ENSSTOP00000021188 ENSSTOP00000001986
ENSSTOP00000021304 ENSSTOP00000020318
ENSSTOP00000021304 ENSSTOP00000023122
ENSSTOP00000021304 ENSSTOP00000017567
ENSSTOP00000021304 ENSSTOP00000020026
ENSSTOP00000021358 ENSSTOP00000010427
ENSSTOP00000021392 ENSSTOP00000014342
ENSSTOP00000021399 ENSSTOP00000017089
ENSSTOP00000022003 ENSSTOP00000016128
ENSSTOP00000022003 ENSSTOP00000006073
ENSSTOP00000022003 ENSSTOP00000006185
ENSSTOP00000022003 ENSSTOP00000015878
ENSSTOP00000022003 ENSSTOP00000015707
ENSSTOP00000022003 ENSSTOP00000009472
ENSSTOP00000022003 ENSSTOP00000008053
ENSSTOP00000022003 ENSSTOP00000022789
ENSSTOP00000022003 ENSSTOP00000019048
ENSSTOP00000022003 ENSSTOP00000022793
ENSSTOP00000022003 ENSSTOP00000019111
ENSSTOP00000022084 ENSSTOP00000004644
ENSSTOP00000022143 ENSSTOP00000002108
ENSSTOP00000022331 ENSSTOP00000008431
ENSSTOP00000022331 ENSSTOP00000005695
ENSSTOP00000022331 ENSSTOP00000023175
ENSSTOP00000022331 ENSSTOP00000002554
ENSSTOP00000022341 ENSSTOP00000006106
ENSSTOP00000022341 ENSSTOP00000012355
ENSSTOP00000022341 ENSSTOP00000023801
ENSSTOP00000022341 ENSSTOP00000022461
ENSSTOP00000022341 ENSSTOP00000002389
ENSSTOP00000022341 ENSSTOP00000007747
ENSSTOP00000022397 ENSSTOP00000020023
ENSSTOP00000022397 ENSSTOP00000005323
ENSSTOP00000022461 ENSSTOP00000023801
ENSSTOP00000022461 ENSSTOP00000022341
ENSSTOP00000022461 ENSSTOP00000006106
ENSSTOP00000022461 ENSSTOP00000002389
ENSSTOP00000022461 ENSSTOP00000007747
ENSSTOP00000022466 ENSSTOP00000014633
ENSSTOP00000022466 ENSSTOP00000000405
ENSSTOP00000022466 ENSSTOP00000008004
ENSSTOP00000022466 ENSSTOP00000023145
ENSSTOP00000022466 ENSSTOP00000012851
ENSSTOP00000022578 ENSSTOP00000009768
ENSSTOP00000022789 ENSSTOP00000008053
ENSSTOP00000022789 ENSSTOP00000019048
ENSSTOP00000022789 ENSSTOP00000022793
ENSSTOP00000022789 ENSSTOP00000019111
ENSSTOP00000022789 ENSSTOP00000016128
ENSSTOP00000022789 ENSSTOP00000022003
ENSSTOP00000022789 ENSSTOP00000006073
ENSSTOP00000022789 ENSSTOP00000006185
ENSSTOP00000022789 ENSSTOP00000015878
ENSSTOP00000022789 ENSSTOP00000015707
ENSSTOP00000022789 ENSSTOP00000009472
ENSSTOP00000022793 ENSSTOP00000002981
ENSSTOP00000022793 ENSSTOP00000005613
ENSSTOP00000022793 ENSSTOP00000016128
