XP_002614575.1 XP_002616289.1
XP_002614575.1 XP_002617493.1
XP_002614576.1 XP_002617787.1
XP_002614576.1 XP_002614508.1
XP_002614576.1 XP_002617414.1
XP_002614576.1 XP_002617216.1
XP_002614576.1 XP_002618508.1
XP_002614576.1 XP_002615671.1
XP_002614584.1 XP_002618639.1
XP_002614584.1 XP_002617274.1
XP_002614584.1 XP_002617174.1
XP_002614584.1 XP_002616212.1
XP_002614584.1 XP_002614241.1
XP_002614592.1 XP_002617570.1
XP_002614592.1 XP_002615581.1
XP_002614594.1 XP_002615010.1
XP_002614595.1 XP_002617975.1
XP_002614595.1 XP_002616529.1
XP_002614601.1 XP_002616529.1
XP_002614601.1 XP_002617975.1
XP_002614614.1 XP_002619682.1
XP_002614614.1 XP_002619387.1
XP_002614618.1 XP_002618721.1
XP_002614620.1 XP_002615231.1
XP_002614620.1 XP_002615281.1
XP_002614620.1 XP_002618171.1
XP_002614620.1 XP_002614161.1
XP_002614620.1 XP_002616523.1
XP_002614620.1 XP_002617585.1
XP_002614623.1 XP_002619998.1
XP_002614623.1 XP_002617754.1
XP_002614623.1 XP_002619999.1
XP_002614631.1 XP_002619883.1
XP_002614632.1 XP_002618081.1
XP_002614632.1 XP_002614773.1
XP_002614632.1 XP_002618795.1
XP_002614632.1 XP_002616627.1
XP_002614632.1 XP_002618419.1
XP_002614632.1 XP_002618025.1
XP_002614632.1 XP_002617132.1
XP_002614636.1 XP_002615568.1
XP_002614636.1 XP_002615587.1
XP_002614636.1 XP_002616999.1
XP_002614637.1 XP_002619807.1
XP_002614638.1 XP_002618058.1
XP_002614638.1 XP_002615876.1
XP_002614638.1 XP_002619998.1
XP_002614638.1 XP_002614764.1
XP_002614638.1 XP_002616610.1
XP_002614638.1 XP_002619999.1
XP_002614652.1 XP_002617611.1
XP_002614652.1 XP_002614189.1
XP_002614653.1 XP_002615777.1
XP_002614653.1 XP_002615420.1
XP_002614653.1 XP_002614542.1
XP_002614654.1 XP_002616859.1
XP_002614654.1 XP_002615451.1
XP_002614654.1 XP_002614379.1
XP_002614654.1 XP_002615480.1
XP_002614654.1 XP_002616379.1
XP_002614654.1 XP_002615897.1
XP_002614654.1 XP_002619263.1
XP_002614654.1 XP_002614303.1
XP_002614654.1 XP_002615285.1
XP_002614654.1 XP_002618160.1
XP_002614654.1 XP_002619891.1
XP_002614654.1 XP_002617319.1
XP_002614654.1 XP_002619988.1
XP_002614654.1 XP_002616463.1
XP_002614654.1 XP_002614406.1
XP_002614654.1 XP_002618161.1
XP_002614654.1 XP_002615898.1
XP_002614654.1 XP_002618027.1
XP_002614654.1 XP_002615613.1
XP_002614654.1 XP_002617872.1
XP_002614656.1 XP_002614695.1
XP_002614656.1 XP_002615451.1
XP_002614656.1 XP_002618618.1
XP_002614656.1 XP_002615338.1
XP_002614656.1 XP_002619564.1
XP_002614656.1 XP_002619988.1
XP_002614656.1 XP_002615423.1
XP_002614656.1 XP_002618027.1
XP_002614656.1 XP_002618204.1
XP_002614656.1 XP_002619263.1
XP_002614656.1 XP_002614309.1
XP_002614656.1 XP_002619843.1
XP_002614656.1 XP_002618936.1
XP_002614656.1 XP_002618223.1
XP_002614656.1 XP_002616324.1
XP_002614656.1 XP_002616664.1
XP_002614662.1 XP_002618992.1
XP_002614662.1 XP_002616379.1
XP_002614662.1 XP_002619971.1
XP_002614662.1 XP_002619294.1
XP_002614662.1 XP_002618448.1
XP_002614662.1 XP_002618342.1
XP_002614662.1 XP_002618421.1
XP_002614662.1 XP_002619891.1
XP_002614663.1 XP_002618225.1
XP_002614663.1 XP_002614856.1
XP_002614663.1 XP_002618257.1
XP_002614663.1 XP_002616950.1
XP_002614663.1 XP_002617916.1
XP_002614663.1 XP_002615446.1
XP_002614663.1 XP_002616302.1
XP_002614663.1 XP_002618104.1
XP_002614664.1 XP_002614799.1
XP_002614664.1 XP_002616618.1
XP_002614673.1 XP_002616943.1
XP_002614673.1 XP_002615110.1
XP_002614673.1 XP_002614310.1
XP_002614673.1 XP_002618642.1
XP_002614673.1 XP_002616019.1
XP_002614673.1 XP_002619739.1
XP_002614673.1 XP_002617026.1
XP_002614673.1 XP_002617534.1
XP_002614673.1 XP_002616551.1
XP_002614673.1 XP_002616752.1
XP_002614693.1 XP_002617757.1
XP_002614693.1 XP_002618686.1
XP_002614693.1 XP_002615821.1
XP_002614693.1 XP_002619497.1
XP_002614693.1 XP_002619055.1
XP_002614693.1 XP_002617356.1
XP_002614693.1 XP_002616839.1
