KAOT1_18997 KAOT1_02987
KAOT1_19252 KAOT1_18142
KAOT1_19252 KAOT1_18147
KAOT1_19252 KAOT1_06827
KAOT1_19252 KAOT1_10091
KAOT1_19252 KAOT1_06647
KAOT1_19252 KAOT1_01260
KAOT1_19312 KAOT1_17978
KAOT1_19317 KAOT1_17978
KAOT1_19897 KAOT1_05382
KAOT1_19902 KAOT1_12502
KAOT1_19987 KAOT1_08894
KAOT1_20517 KAOT1_20527
KAOT1_20517 KAOT1_13272
KAOT1_20517 KAOT1_04812
KAOT1_20527 KAOT1_20617
KAOT1_20527 KAOT1_04340
KAOT1_20527 KAOT1_20542
KAOT1_20527 KAOT1_20557
KAOT1_20527 KAOT1_18047
KAOT1_20527 KAOT1_20517
KAOT1_20542 KAOT1_13272
KAOT1_20542 KAOT1_20527
KAOT1_20542 KAOT1_04812
KAOT1_20557 KAOT1_04812
KAOT1_20557 KAOT1_20527
KAOT1_20557 KAOT1_13272
KAOT1_20597 KAOT1_02987
KAOT1_20597 KAOT1_21022
KAOT1_20597 KAOT1_12952
KAOT1_20602 KAOT1_11627
KAOT1_20617 KAOT1_13272
KAOT1_20617 KAOT1_04590
KAOT1_20617 KAOT1_20527
KAOT1_20617 KAOT1_04912
KAOT1_20617 KAOT1_21472
KAOT1_20617 KAOT1_04812
KAOT1_20622 KAOT1_09281
KAOT1_20622 KAOT1_08894
KAOT1_20647 KAOT1_17993
KAOT1_20647 KAOT1_17918
KAOT1_20647 KAOT1_17888
KAOT1_20692 KAOT1_09281
KAOT1_20692 KAOT1_08894
KAOT1_20987 KAOT1_04982
KAOT1_20987 KAOT1_10516
KAOT1_20987 KAOT1_05067
KAOT1_21017 KAOT1_01405
KAOT1_21017 KAOT1_12922
KAOT1_21022 KAOT1_12952
KAOT1_21022 KAOT1_21027
KAOT1_21022 KAOT1_12012
KAOT1_21022 KAOT1_11006
KAOT1_21022 KAOT1_02987
KAOT1_21022 KAOT1_20597
KAOT1_21022 KAOT1_17093
KAOT1_21027 KAOT1_02987
KAOT1_21027 KAOT1_12952
KAOT1_21027 KAOT1_21022
KAOT1_21152 KAOT1_08258
KAOT1_21152 KAOT1_08578
KAOT1_21262 KAOT1_05132
KAOT1_21262 KAOT1_01190
KAOT1_21262 KAOT1_05172
KAOT1_21267 KAOT1_05132
KAOT1_21267 KAOT1_01190
KAOT1_21267 KAOT1_05172
KAOT1_21272 KAOT1_08483
KAOT1_21272 KAOT1_17558
KAOT1_21272 KAOT1_18142
KAOT1_21272 KAOT1_18147
KAOT1_21272 KAOT1_08073
KAOT1_21272 KAOT1_14977
KAOT1_21272 KAOT1_14972
KAOT1_21277 KAOT1_02987
KAOT1_21277 KAOT1_09321
KAOT1_21277 KAOT1_09336
KAOT1_21472 KAOT1_06587
KAOT1_21472 KAOT1_05862
KAOT1_21472 KAOT1_06392
KAOT1_21472 KAOT1_20617
KAOT1_21622 KAOT1_06897
KAOT1_21622 KAOT1_09781
KAOT1_21652 KAOT1_13017
KAOT1_21652 KAOT1_04365
KAOT1_21657 KAOT1_15057
KAOT1_21657 KAOT1_02832
KAOT1_21657 KAOT1_02937
KAOT1_21657 KAOT1_22151
KAOT1_21657 KAOT1_10536
KAOT1_21657 KAOT1_02827
KAOT1_21657 KAOT1_10491
KAOT1_21712 KAOT1_15047
KAOT1_21712 KAOT1_10711
KAOT1_21781 KAOT1_02872
KAOT1_21916 KAOT1_22151
KAOT1_21916 KAOT1_16863
KAOT1_21916 KAOT1_02832
KAOT1_21916 KAOT1_12037
KAOT1_21916 KAOT1_17023
KAOT1_21996 KAOT1_17218
KAOT1_22151 KAOT1_22176
KAOT1_22151 KAOT1_16863
KAOT1_22151 KAOT1_09376
