BRLA_c20610 BRLA_c20760
BRLA_c20670 BRLA_c20710
BRLA_c20670 BRLA_c20700
BRLA_c20670 BRLA_c20600
BRLA_c20670 BRLA_c40850
BRLA_c20670 BRLA_c20720
BRLA_c20680 BRLA_c20710
BRLA_c20680 BRLA_c20700
BRLA_c20680 BRLA_c20720
BRLA_c20690 BRLA_c20600
BRLA_c20700 BRLA_c20680
BRLA_c20700 BRLA_c20670
BRLA_c20710 BRLA_c20680
BRLA_c20710 BRLA_c20670
BRLA_c20720 BRLA_c20670
BRLA_c20720 BRLA_c20680
BRLA_c20730 BRLA_c20760
BRLA_c20730 BRLA_c20780
BRLA_c20760 BRLA_c43040
BRLA_c20760 BRLA_c20610
BRLA_c20760 BRLA_c04970
BRLA_c20760 BRLA_c20730
BRLA_c20760 BRLA_c02650
BRLA_c20770 BRLA_c20780
BRLA_c20780 BRLA_c20730
BRLA_c20780 BRLA_c20770
BRLA_c20800 BRLA_c04420
BRLA_c20800 BRLA_c30710
BRLA_c20800 BRLA_c09500
BRLA_c21700 BRLA_c44390
BRLA_c21700 BRLA_c36500
BRLA_c22040 BRLA_c43690
BRLA_c22790 BRLA_c40400
BRLA_c22790 BRLA_c22820
BRLA_c22790 BRLA_c46910
BRLA_c22800 BRLA_c40390
BRLA_c22800 BRLA_c40370
BRLA_c22800 BRLA_c22820
BRLA_c22800 BRLA_c40400
BRLA_c22800 BRLA_c06690
BRLA_c22800 BRLA_c46900
BRLA_c22800 BRLA_c46910
BRLA_c22800 BRLA_c40380
BRLA_c22800 BRLA_c45320
BRLA_c22820 BRLA_c23330
BRLA_c22820 BRLA_c40850
BRLA_c22820 BRLA_c46910
BRLA_c22820 BRLA_c42800
BRLA_c22820 BRLA_c40380
BRLA_c22820 BRLA_c06950
BRLA_c22820 BRLA_c32550
BRLA_c22820 BRLA_c22800
BRLA_c22820 BRLA_c40370
BRLA_c22820 BRLA_c23320
BRLA_c22820 BRLA_c08930
BRLA_c22820 BRLA_c40400
BRLA_c22820 BRLA_c42790
BRLA_c22820 BRLA_c40390
BRLA_c22820 BRLA_c22790
BRLA_c22820 BRLA_c46900
BRLA_c22820 BRLA_c25360
BRLA_c22820 BRLA_c32560
BRLA_c22830 BRLA_c43200
BRLA_c23260 BRLA_c23280
BRLA_c23260 BRLA_c23300
BRLA_c23260 BRLA_c23270
BRLA_c23260 BRLA_c23290
BRLA_c23270 BRLA_c23280
BRLA_c23270 BRLA_c23300
BRLA_c23270 BRLA_c23260
BRLA_c23270 BRLA_c23290
BRLA_c23280 BRLA_c23290
BRLA_c23280 BRLA_c23300
BRLA_c23280 BRLA_c23270
BRLA_c23280 BRLA_c23260
BRLA_c23290 BRLA_c23280
BRLA_c23290 BRLA_c23300
BRLA_c23290 BRLA_c23270
BRLA_c23290 BRLA_c23260
BRLA_c23300 BRLA_c23280
BRLA_c23300 BRLA_c23270
BRLA_c23300 BRLA_c23260
BRLA_c23300 BRLA_c23290
BRLA_c23320 BRLA_c22820
BRLA_c23320 BRLA_c04180
BRLA_c23320 BRLA_c06850
BRLA_c23320 BRLA_c32560
BRLA_c23320 BRLA_c32530
BRLA_c23320 BRLA_c23330
BRLA_c23320 BRLA_c32550
