ENSNLEP00000006603 ENSNLEP00000020923
ENSNLEP00000006603 ENSNLEP00000019587
ENSNLEP00000006603 ENSNLEP00000003290
ENSNLEP00000006603 ENSNLEP00000004537
ENSNLEP00000006626 ENSNLEP00000018366
ENSNLEP00000006626 ENSNLEP00000020618
ENSNLEP00000006626 ENSNLEP00000020702
ENSNLEP00000006626 ENSNLEP00000003865
ENSNLEP00000006626 ENSNLEP00000003760
ENSNLEP00000006626 ENSNLEP00000021576
ENSNLEP00000006626 ENSNLEP00000006601
ENSNLEP00000006626 ENSNLEP00000004136
ENSNLEP00000006750 ENSNLEP00000001948
ENSNLEP00000006757 ENSNLEP00000007742
ENSNLEP00000006757 ENSNLEP00000001736
ENSNLEP00000006757 ENSNLEP00000006150
ENSNLEP00000006757 ENSNLEP00000018943
ENSNLEP00000006757 ENSNLEP00000002730
ENSNLEP00000006757 ENSNLEP00000010197
ENSNLEP00000006757 ENSNLEP00000014304
ENSNLEP00000006757 ENSNLEP00000002714
ENSNLEP00000006757 ENSNLEP00000011245
ENSNLEP00000006758 ENSNLEP00000010568
ENSNLEP00000006799 ENSNLEP00000019129
ENSNLEP00000006799 ENSNLEP00000014230
ENSNLEP00000006799 ENSNLEP00000018225
ENSNLEP00000006799 ENSNLEP00000007793
ENSNLEP00000006799 ENSNLEP00000005335
ENSNLEP00000006799 ENSNLEP00000013166
ENSNLEP00000006801 ENSNLEP00000005055
ENSNLEP00000006801 ENSNLEP00000015936
ENSNLEP00000006801 ENSNLEP00000007715
ENSNLEP00000006801 ENSNLEP00000012370
ENSNLEP00000006801 ENSNLEP00000003863
ENSNLEP00000006801 ENSNLEP00000015275
ENSNLEP00000006801 ENSNLEP00000020685
ENSNLEP00000006801 ENSNLEP00000018121
ENSNLEP00000006801 ENSNLEP00000013474
ENSNLEP00000006801 ENSNLEP00000019407
ENSNLEP00000006801 ENSNLEP00000007287
ENSNLEP00000006801 ENSNLEP00000017031
ENSNLEP00000006801 ENSNLEP00000020499
ENSNLEP00000006801 ENSNLEP00000003464
ENSNLEP00000006801 ENSNLEP00000001603
ENSNLEP00000006801 ENSNLEP00000019091
ENSNLEP00000006801 ENSNLEP00000017278
ENSNLEP00000006813 ENSNLEP00000022163
ENSNLEP00000006813 ENSNLEP00000007040
ENSNLEP00000006813 ENSNLEP00000008324
ENSNLEP00000006813 ENSNLEP00000017766
ENSNLEP00000006813 ENSNLEP00000021279
ENSNLEP00000006813 ENSNLEP00000001968
ENSNLEP00000006813 ENSNLEP00000012808
ENSNLEP00000006813 ENSNLEP00000012432
ENSNLEP00000006813 ENSNLEP00000001441
ENSNLEP00000006813 ENSNLEP00000024307
ENSNLEP00000006869 ENSNLEP00000004176
ENSNLEP00000006897 ENSNLEP00000016216
ENSNLEP00000006909 ENSNLEP00000006941
ENSNLEP00000006909 ENSNLEP00000002265
ENSNLEP00000006909 ENSNLEP00000020255
ENSNLEP00000006941 ENSNLEP00000005304
ENSNLEP00000006941 ENSNLEP00000006909
ENSNLEP00000006941 ENSNLEP00000002265
ENSNLEP00000006941 ENSNLEP00000020255
ENSNLEP00000007006 ENSNLEP00000018918
ENSNLEP00000007006 ENSNLEP00000021853
ENSNLEP00000007006 ENSNLEP00000004078
ENSNLEP00000007006 ENSNLEP00000002013
ENSNLEP00000007040 ENSNLEP00000001968
ENSNLEP00000007040 ENSNLEP00000006813
ENSNLEP00000007040 ENSNLEP00000012808
ENSNLEP00000007040 ENSNLEP00000022163
ENSNLEP00000007040 ENSNLEP00000022620
ENSNLEP00000007040 ENSNLEP00000017766
ENSNLEP00000007040 ENSNLEP00000008324
ENSNLEP00000007040 ENSNLEP00000000910
ENSNLEP00000007040 ENSNLEP00000021279
ENSNLEP00000007040 ENSNLEP00000022798
ENSNLEP00000007040 ENSNLEP00000001441
ENSNLEP00000007040 ENSNLEP00000024307
ENSNLEP00000007040 ENSNLEP00000012432
ENSNLEP00000007040 ENSNLEP00000022199
ENSNLEP00000007040 ENSNLEP00000022016
ENSNLEP00000007040 ENSNLEP00000012633
ENSNLEP00000007135 ENSNLEP00000009838
ENSNLEP00000007260 ENSNLEP00000017178
ENSNLEP00000007287 ENSNLEP00000019091
ENSNLEP00000007287 ENSNLEP00000017278
ENSNLEP00000007287 ENSNLEP00000007715
ENSNLEP00000007287 ENSNLEP00000012370
ENSNLEP00000007287 ENSNLEP00000003863
ENSNLEP00000007287 ENSNLEP00000006801
ENSNLEP00000007287 ENSNLEP00000018121
ENSNLEP00000007287 ENSNLEP00000013474
ENSNLEP00000007287 ENSNLEP00000019407
ENSNLEP00000007287 ENSNLEP00000015275
ENSNLEP00000007287 ENSNLEP00000020499
ENSNLEP00000007287 ENSNLEP00000005055
ENSNLEP00000007287 ENSNLEP00000003464
ENSNLEP00000007287 ENSNLEP00000001603
ENSNLEP00000007287 ENSNLEP00000015936
ENSNLEP00000007287 ENSNLEP00000020685
ENSNLEP00000007287 ENSNLEP00000017031
ENSNLEP00000007362 ENSNLEP00000009264
ENSNLEP00000007413 ENSNLEP00000012532
ENSNLEP00000007560 ENSNLEP00000013445
ENSNLEP00000007560 ENSNLEP00000006149
ENSNLEP00000007560 ENSNLEP00000021151
ENSNLEP00000007639 ENSNLEP00000014449
ENSNLEP00000007640 ENSNLEP00000018918
ENSNLEP00000007689 ENSNLEP00000017831
ENSNLEP00000007715 ENSNLEP00000012370
ENSNLEP00000007715 ENSNLEP00000018121
ENSNLEP00000007715 ENSNLEP00000006801
ENSNLEP00000007715 ENSNLEP00000019407
ENSNLEP00000007715 ENSNLEP00000013474
ENSNLEP00000007715 ENSNLEP00000007287
ENSNLEP00000007715 ENSNLEP00000017031
ENSNLEP00000007715 ENSNLEP00000020499
ENSNLEP00000007715 ENSNLEP00000003464
ENSNLEP00000007715 ENSNLEP00000001603
ENSNLEP00000007715 ENSNLEP00000017278
ENSNLEP00000007715 ENSNLEP00000019091
ENSNLEP00000007715 ENSNLEP00000003863
ENSNLEP00000007715 ENSNLEP00000015275
ENSNLEP00000007715 ENSNLEP00000020685
ENSNLEP00000007715 ENSNLEP00000005055
ENSNLEP00000007715 ENSNLEP00000015936
ENSNLEP00000007742 ENSNLEP00000011245
ENSNLEP00000007742 ENSNLEP00000001736
ENSNLEP00000007742 ENSNLEP00000006150
ENSNLEP00000007742 ENSNLEP00000018943
ENSNLEP00000007742 ENSNLEP00000006757
ENSNLEP00000007742 ENSNLEP00000002730
ENSNLEP00000007742 ENSNLEP00000010197
ENSNLEP00000007742 ENSNLEP00000014304
ENSNLEP00000007742 ENSNLEP00000002714
ENSNLEP00000007746 ENSNLEP00000017555
ENSNLEP00000007746 ENSNLEP00000005468
ENSNLEP00000007753 ENSNLEP00000011790
ENSNLEP00000007793 ENSNLEP00000019129
ENSNLEP00000007793 ENSNLEP00000014230
ENSNLEP00000007793 ENSNLEP00000018225
ENSNLEP00000007793 ENSNLEP00000005335
ENSNLEP00000007793 ENSNLEP00000013166
ENSNLEP00000007793 ENSNLEP00000011555
ENSNLEP00000007793 ENSNLEP00000006799
ENSNLEP00000007885 ENSNLEP00000020116
ENSNLEP00000007963 ENSNLEP00000015615
ENSNLEP00000008055 ENSNLEP00000000267
ENSNLEP00000008080 ENSNLEP00000012532
ENSNLEP00000008170 ENSNLEP00000001668
ENSNLEP00000008193 ENSNLEP00000009765
ENSNLEP00000008199 ENSNLEP00000019724
ENSNLEP00000008250 ENSNLEP00000020618
ENSNLEP00000008250 ENSNLEP00000020702
ENSNLEP00000008324 ENSNLEP00000012082
ENSNLEP00000008324 ENSNLEP00000022620
ENSNLEP00000008324 ENSNLEP00000007040
ENSNLEP00000008324 ENSNLEP00000017766
ENSNLEP00000008324 ENSNLEP00000000910
ENSNLEP00000008324 ENSNLEP00000021279
ENSNLEP00000008324 ENSNLEP00000022798
ENSNLEP00000008324 ENSNLEP00000001441
ENSNLEP00000008324 ENSNLEP00000024307
ENSNLEP00000008324 ENSNLEP00000012432
ENSNLEP00000008324 ENSNLEP00000022199
ENSNLEP00000008324 ENSNLEP00000012633
ENSNLEP00000008324 ENSNLEP00000022016
ENSNLEP00000008324 ENSNLEP00000001968
ENSNLEP00000008324 ENSNLEP00000006813
ENSNLEP00000008324 ENSNLEP00000012808
ENSNLEP00000008324 ENSNLEP00000022163
ENSNLEP00000008368 ENSNLEP00000000957
ENSNLEP00000008374 ENSNLEP00000017832
ENSNLEP00000008412 ENSNLEP00000017691
ENSNLEP00000008517 ENSNLEP00000001948
ENSNLEP00000008811 ENSNLEP00000001913
ENSNLEP00000008813 ENSNLEP00000003335
ENSNLEP00000008813 ENSNLEP00000021709
ENSNLEP00000008851 ENSNLEP00000000099
ENSNLEP00000008851 ENSNLEP00000010968
ENSNLEP00000008892 ENSNLEP00000012266
ENSNLEP00000008934 ENSNLEP00000002159
ENSNLEP00000008992 ENSNLEP00000017729
ENSNLEP00000009039 ENSNLEP00000018428
ENSNLEP00000009039 ENSNLEP00000009975
ENSNLEP00000009087 ENSNLEP00000004314
ENSNLEP00000009140 ENSNLEP00000001835
ENSNLEP00000009140 ENSNLEP00000005933
ENSNLEP00000009140 ENSNLEP00000012532
ENSNLEP00000009264 ENSNLEP00000007362
ENSNLEP00000009299 ENSNLEP00000015099
ENSNLEP00000009299 ENSNLEP00000017141
ENSNLEP00000009389 ENSNLEP00000018606
ENSNLEP00000009392 ENSNLEP00000020909
ENSNLEP00000009392 ENSNLEP00000012532
ENSNLEP00000009397 ENSNLEP00000004785
ENSNLEP00000009397 ENSNLEP00000004646
ENSNLEP00000009397 ENSNLEP00000020654
ENSNLEP00000009397 ENSNLEP00000003783
ENSNLEP00000009548 ENSNLEP00000011718
ENSNLEP00000009566 ENSNLEP00000004352
ENSNLEP00000009765 ENSNLEP00000008193
ENSNLEP00000009818 ENSNLEP00000011281
ENSNLEP00000009838 ENSNLEP00000007135
ENSNLEP00000009838 ENSNLEP00000000884
ENSNLEP00000009838 ENSNLEP00000014029
ENSNLEP00000009838 ENSNLEP00000018538
ENSNLEP00000009838 ENSNLEP00000019700
ENSNLEP00000009838 ENSNLEP00000004334
ENSNLEP00000009956 ENSNLEP00000009962
