SSNG_01870 SSNG_03872
SSNG_01874 SSNG_05399
SSNG_01874 SSNG_01952
SSNG_01874 SSNG_01344
SSNG_01874 SSNG_05404
SSNG_01874 SSNG_03872
SSNG_01874 SSNG_01985
SSNG_01875 SSNG_01253
SSNG_01880 SSNG_01882
SSNG_01882 SSNG_01880
SSNG_01882 SSNG_03588
SSNG_01882 SSNG_01883
SSNG_01883 SSNG_01882
SSNG_01914 SSNG_01917
SSNG_01916 SSNG_05540
SSNG_01916 SSNG_01919
SSNG_01917 SSNG_04350
SSNG_01917 SSNG_01914
SSNG_01917 SSNG_03185
SSNG_01917 SSNG_00232
SSNG_01919 SSNG_01916
SSNG_01936 SSNG_03797
SSNG_01936 SSNG_05647
SSNG_01936 SSNG_01499
SSNG_01936 SSNG_05039
SSNG_01937 SSNG_02129
SSNG_01937 SSNG_05118
SSNG_01937 SSNG_05912
SSNG_01937 SSNG_06266
SSNG_01937 SSNG_05119
SSNG_01951 SSNG_01342
SSNG_01951 SSNG_01343
SSNG_01952 SSNG_01344
SSNG_01952 SSNG_05399
SSNG_01952 SSNG_01874
SSNG_01952 SSNG_05404
SSNG_01952 SSNG_03872
SSNG_01952 SSNG_01985
SSNG_01953 SSNG_02056
SSNG_01953 SSNG_04092
SSNG_01953 SSNG_01297
SSNG_01953 SSNG_06974
SSNG_01953 SSNG_06622
SSNG_01953 SSNG_02265
SSNG_01953 SSNG_06300
SSNG_01953 SSNG_01690
SSNG_01953 SSNG_06027
SSNG_01953 SSNG_01822
SSNG_01953 SSNG_02870
SSNG_01953 SSNG_04969
SSNG_01953 SSNG_00315
SSNG_01953 SSNG_03059
SSNG_01953 SSNG_07509
SSNG_01953 SSNG_05588
SSNG_01953 SSNG_01993
SSNG_01954 SSNG_00807
SSNG_01954 SSNG_06194
SSNG_01954 SSNG_01758
SSNG_01954 SSNG_03330
SSNG_01957 SSNG_05173
SSNG_01967 SSNG_04977
SSNG_01967 SSNG_02403
SSNG_01967 SSNG_01758
SSNG_01967 SSNG_02079
SSNG_01967 SSNG_02083
SSNG_01972 SSNG_03975
SSNG_01972 SSNG_05585
SSNG_01972 SSNG_00407
SSNG_01972 SSNG_04043
SSNG_01972 SSNG_01588
SSNG_01972 SSNG_03498
SSNG_01972 SSNG_05210
SSNG_01972 SSNG_03438
SSNG_01972 SSNG_01528
SSNG_01972 SSNG_03634
SSNG_01975 SSNG_06291
SSNG_01975 SSNG_04291
SSNG_01984 SSNG_04711
SSNG_01984 SSNG_05983
SSNG_01984 SSNG_01740
SSNG_01985 SSNG_05399
SSNG_01985 SSNG_01952
SSNG_01985 SSNG_01874
SSNG_01985 SSNG_03872
SSNG_01993 SSNG_04165
SSNG_01993 SSNG_04172
SSNG_01993 SSNG_04133
SSNG_01993 SSNG_04142
SSNG_01993 SSNG_01953
SSNG_01993 SSNG_04611
SSNG_01993 SSNG_04138
SSNG_01993 SSNG_04170
SSNG_01993 SSNG_05594
SSNG_01993 SSNG_05071
SSNG_01993 SSNG_04360
SSNG_01993 SSNG_04143
SSNG_01993 SSNG_04135
SSNG_01993 SSNG_02822
SSNG_01993 SSNG_03378
SSNG_01993 SSNG_04358
SSNG_01993 SSNG_04175
SSNG_01993 SSNG_03729
SSNG_01993 SSNG_04174
SSNG_01993 SSNG_04361
SSNG_01993 SSNG_00413
SSNG_01993 SSNG_04168
SSNG_01993 SSNG_04140
SSNG_01993 SSNG_04166
SSNG_01993 SSNG_04132
SSNG_01993 SSNG_04173
SSNG_01993 SSNG_01503
SSNG_01993 SSNG_04141
SSNG_01993 SSNG_04171
SSNG_01993 SSNG_04359
SSNG_01993 SSNG_04285
SSNG_01993 SSNG_04635
SSNG_01993 SSNG_06157
SSNG_01994 SSNG_04554
SSNG_01995 SSNG_04711
SSNG_02001 SSNG_03132
SSNG_02004 SSNG_03035
SSNG_02004 SSNG_00904
SSNG_02004 SSNG_03418
SSNG_02004 SSNG_01508
SSNG_02004 SSNG_02515
SSNG_02004 SSNG_03817
SSNG_02004 SSNG_05318
SSNG_02004 SSNG_02327
SSNG_02004 SSNG_02010
SSNG_02004 SSNG_01407
SSNG_02010 SSNG_02515
SSNG_02010 SSNG_03035
SSNG_02010 SSNG_02004
SSNG_02010 SSNG_05318
SSNG_02010 SSNG_03817
SSNG_02010 SSNG_02327
SSNG_02010 SSNG_03418
SSNG_02010 SSNG_00904
SSNG_02010 SSNG_01508
SSNG_02026 SSNG_04612
SSNG_02026 SSNG_07437
SSNG_02026 SSNG_03485
SSNG_02026 SSNG_03797
SSNG_02026 SSNG_05594
SSNG_02026 SSNG_04464
SSNG_02026 SSNG_05021
SSNG_02026 SSNG_03484
SSNG_02026 SSNG_04833
SSNG_02026 SSNG_03469
SSNG_02026 SSNG_03468
SSNG_02026 SSNG_03486
SSNG_02026 SSNG_01189
SSNG_02026 SSNG_05104
SSNG_02034 SSNG_02264
SSNG_02034 SSNG_01742
SSNG_02034 SSNG_01856
SSNG_02034 SSNG_01857
SSNG_02034 SSNG_02263
SSNG_02034 SSNG_02262
SSNG_02039 SSNG_02040
SSNG_02040 SSNG_02039
SSNG_02056 SSNG_04611
SSNG_02056 SSNG_01953
SSNG_02060 SSNG_01856
SSNG_02060 SSNG_01857
SSNG_02060 SSNG_02263
SSNG_02060 SSNG_02262
SSNG_02060 SSNG_02264
SSNG_02060 SSNG_01742
SSNG_02079 SSNG_01967
SSNG_02083 SSNG_01967
SSNG_02091 SSNG_01856
SSNG_02091 SSNG_01857
SSNG_02091 SSNG_02263
