TGME49_029400 TGME49_050880
TGME49_029400 TGME49_063190
TGME49_029400 TGME49_030460
TGME49_029400 TGME49_080410
TGME49_029400 TGME49_081970
TGME49_029400 TGME49_088320
TGME49_029400 TGME49_024900
TGME49_029400 TGME49_024840
TGME49_029420 TGME49_105910
TGME49_029420 TGME49_095720
TGME49_029420 TGME49_082230
TGME49_029420 TGME49_019750
TGME49_029690 TGME49_036110
TGME49_029690 TGME49_054120
TGME49_030380 TGME49_011040
TGME49_030380 TGME49_069980
TGME49_030430 TGME49_057520
TGME49_030430 TGME49_048100
TGME49_030450 TGME49_002300
TGME49_030450 TGME49_057080
TGME49_030450 TGME49_000320
TGME49_030450 TGME49_110810
TGME49_030450 TGME49_042730
TGME49_030450 TGME49_002540
TGME49_030450 TGME49_033110
TGME49_030460 TGME49_095350
TGME49_030460 TGME49_080410
TGME49_030460 TGME49_056760
TGME49_030460 TGME49_033400
TGME49_030460 TGME49_050880
TGME49_030460 TGME49_007060
TGME49_030460 TGME49_081970
TGME49_030460 TGME49_029400
TGME49_030460 TGME49_024900
TGME49_030460 TGME49_088320
TGME49_030460 TGME49_094640
TGME49_030460 TGME49_024840
TGME49_030460 TGME49_057080
TGME49_030460 TGME49_002540
TGME49_030460 TGME49_058640
TGME49_030460 TGME49_002210
TGME49_030460 TGME49_034280
TGME49_030460 TGME49_063190
TGME49_030490 TGME49_096010
TGME49_030590 TGME49_038940
TGME49_030590 TGME49_027790
TGME49_030590 TGME49_062930
TGME49_030590 TGME49_007070
TGME49_030590 TGME49_057960
TGME49_030590 TGME49_077970
TGME49_030690 TGME49_039250
TGME49_030690 TGME49_081980
TGME49_030690 TGME49_047360
TGME49_030690 TGME49_032730
TGME49_030690 TGME49_063730
TGME49_030690 TGME49_107570
