OCA5_c20090 OCA5_c25390
OCA5_c20090 OCA5_c08040
OCA5_c20100 OCA5_c07880
OCA5_c20100 OCA5_c02410
OCA5_c20100 OCA5_c31770
OCA5_c20130 OCA5_c04040
OCA5_c20130 OCAR_4863
OCA5_c20150 OCA5_c06070
OCA5_c20150 OCA5_c32940
OCA5_c20230 OCAR_5998
OCA5_c20290 OCA5_c17610
OCA5_c20380 OCA5_c17610
OCA5_c20430 OCAR_4075
OCA5_c20430 OCA5_c09400
OCA5_c20440 OCA5_c16740
OCA5_c20440 OCA5_c12130
OCA5_c20450 OCA5_c16740
OCA5_c20450 OCA5_c12130
OCA5_c20530 OCA5_c33730
OCA5_c20530 OCA5_c26610
OCA5_c20530 OCA5_c33630
OCA5_c20530 OCA5_c10070
OCA5_c20550 OCA5_c08640
OCA5_c20550 OCA5_c01800
OCA5_c20560 OCAR_7212
OCA5_c20570 OCA5_c27180
OCA5_c20660 OCA5_c16950
OCA5_c20660 OCA5_c01100
OCA5_c20660 OCA5_c13190
OCA5_c20660 OCA5_c13090
OCA5_c20660 OCA5_c13200
OCA5_c20890 OCA5_c10940
OCA5_c20890 OCA5_c33070
OCA5_c20890 OCA5_c33080
OCA5_c21170 OCA5_c30180
OCA5_c21170 OCAR_4939
OCA5_c21170 OCA5_c04580
OCA5_c21260 OCA5_c33950
OCA5_c21260 OCA5_c30720
OCA5_c21260 OCA5_c06930
OCA5_c21260 OCA5_c31770
OCA5_c21260 OCA5_c06710
OCA5_c21260 OCA5_c33960
OCA5_c21260 OCAR_6751
OCA5_c21430 OCA5_c01970
OCA5_c21520 OCA5_c10620
OCA5_c21520 OCA5_c08030
OCA5_c21540 OCA5_c21550
OCA5_c21550 OCA5_c08810
OCA5_c21550 OCA5_c21540
OCA5_c21580 OCAR_6932
OCA5_c21580 OCA5_c26900
OCA5_c21580 OCAR_6692
OCA5_c21580 OCA5_c13780
OCA5_c21580 OCA5_c00540
OCA5_c21630 OCA5_c32440
OCA5_c21630 OCAR_7127
OCA5_c21780 OCA5_c11860
OCA5_c21780 OCA5_c11730
OCA5_c21780 OCA5_c14020
OCA5_c22130 OCA5_c11820
OCA5_c22130 OCA5_c31800
OCA5_c22210 OCA5_c11510
OCA5_c22210 OCAR_5135
OCA5_c22210 OCA5_c28350
OCA5_c22210 OCA5_c22220
OCA5_c22220 OCA5_c22210
OCA5_c22380 OCAR_6680
OCA5_c22460 OCA5_c03960
OCA5_c22460 OCA5_c27330
OCA5_c22490 OCAR_7085
OCA5_c22490 OCA5_c08870
OCA5_c22490 OCA5_c29080
OCA5_c22490 OCA5_c15020
OCA5_c22490 OCA5_c01300
OCA5_c22610 OCA5_c17610
OCA5_c22620 OCA5_c01240
OCA5_c22670 OCA5_c19380
OCA5_c22680 OCA5_c13740
OCA5_c22750 OCA5_c28640
OCA5_c22750 OCA5_c14970
OCA5_c22890 OCA5_c02410
OCA5_c23090 OCA5_c33530
OCA5_c23090 OCA5_c13200
OCA5_c23090 OCA5_c13190
