ENSLACP00000000290 ENSLACP00000022768
ENSLACP00000000290 ENSLACP00000010663
ENSLACP00000000291 ENSLACP00000010247
ENSLACP00000000291 ENSLACP00000002830
ENSLACP00000000291 ENSLACP00000000808
ENSLACP00000000293 ENSLACP00000011058
ENSLACP00000000293 ENSLACP00000008498
ENSLACP00000000293 ENSLACP00000012912
ENSLACP00000000293 ENSLACP00000006413
ENSLACP00000000293 ENSLACP00000018162
ENSLACP00000000293 ENSLACP00000021612
ENSLACP00000000293 ENSLACP00000001400
ENSLACP00000000293 ENSLACP00000022625
ENSLACP00000000293 ENSLACP00000003950
ENSLACP00000000293 ENSLACP00000012946
ENSLACP00000000293 ENSLACP00000015867
ENSLACP00000000293 ENSLACP00000006372
ENSLACP00000000293 ENSLACP00000021453
ENSLACP00000000293 ENSLACP00000019932
ENSLACP00000000293 ENSLACP00000017528
ENSLACP00000000293 ENSLACP00000012835
ENSLACP00000000293 ENSLACP00000013733
ENSLACP00000000293 ENSLACP00000005002
ENSLACP00000000297 ENSLACP00000003584
ENSLACP00000000297 ENSLACP00000002229
ENSLACP00000000297 ENSLACP00000006953
ENSLACP00000000297 ENSLACP00000001621
ENSLACP00000000297 ENSLACP00000015437
ENSLACP00000000297 ENSLACP00000016754
ENSLACP00000000297 ENSLACP00000022768
ENSLACP00000000297 ENSLACP00000007727
ENSLACP00000000297 ENSLACP00000001326
ENSLACP00000000297 ENSLACP00000011398
ENSLACP00000000297 ENSLACP00000022760
ENSLACP00000000297 ENSLACP00000009318
ENSLACP00000000297 ENSLACP00000005130
ENSLACP00000000297 ENSLACP00000005382
ENSLACP00000000297 ENSLACP00000014482
ENSLACP00000000297 ENSLACP00000010663
ENSLACP00000000297 ENSLACP00000005135
ENSLACP00000000299 ENSLACP00000022117
ENSLACP00000000299 ENSLACP00000001373
ENSLACP00000000299 ENSLACP00000011431
ENSLACP00000000299 ENSLACP00000006560
ENSLACP00000000299 ENSLACP00000017516
ENSLACP00000000299 ENSLACP00000018874
ENSLACP00000000311 ENSLACP00000022056
ENSLACP00000000311 ENSLACP00000008525
ENSLACP00000000330 ENSLACP00000012076
ENSLACP00000000330 ENSLACP00000012521
ENSLACP00000000335 ENSLACP00000006773
ENSLACP00000000335 ENSLACP00000016853
ENSLACP00000000335 ENSLACP00000019242
ENSLACP00000000335 ENSLACP00000011593
ENSLACP00000000335 ENSLACP00000021800
ENSLACP00000000335 ENSLACP00000011375
ENSLACP00000000335 ENSLACP00000002739
ENSLACP00000000335 ENSLACP00000004914
ENSLACP00000000338 ENSLACP00000012660
ENSLACP00000000341 ENSLACP00000011787
ENSLACP00000000341 ENSLACP00000007118
ENSLACP00000000341 ENSLACP00000014085
ENSLACP00000000348 ENSLACP00000020874
ENSLACP00000000348 ENSLACP00000003255
ENSLACP00000000348 ENSLACP00000020732
ENSLACP00000000348 ENSLACP00000000653
ENSLACP00000000348 ENSLACP00000001275
ENSLACP00000000348 ENSLACP00000021650
ENSLACP00000000348 ENSLACP00000019307
ENSLACP00000000348 ENSLACP00000006343
ENSLACP00000000348 ENSLACP00000012432
ENSLACP00000000348 ENSLACP00000009260
ENSLACP00000000348 ENSLACP00000001481
ENSLACP00000000348 ENSLACP00000004886
ENSLACP00000000348 ENSLACP00000020539
ENSLACP00000000348 ENSLACP00000002643
ENSLACP00000000348 ENSLACP00000008017
ENSLACP00000000348 ENSLACP00000006135
ENSLACP00000000348 ENSLACP00000007223
ENSLACP00000000348 ENSLACP00000020868
ENSLACP00000000369 ENSLACP00000019694
