BATR1942_01655 BATR1942_16410
BATR1942_01655 BATR1942_19860
BATR1942_01655 BATR1942_07310
BATR1942_01655 BATR1942_20245
BATR1942_01655 BATR1942_10335
BATR1942_01655 BATR1942_05070
BATR1942_01655 BATR1942_05060
BATR1942_01655 BATR1942_10595
BATR1942_01655 BATR1942_10325
BATR1942_01655 BATR1942_02365
BATR1942_01695 BATR1942_01705
BATR1942_01695 BATR1942_01480
BATR1942_01695 BATR1942_08975
BATR1942_01695 BATR1942_01475
BATR1942_01705 BATR1942_08975
BATR1942_01705 BATR1942_01695
BATR1942_01735 BATR1942_16735
BATR1942_01785 BATR1942_20605
BATR1942_01785 BATR1942_19450
BATR1942_01785 BATR1942_14500
BATR1942_01785 BATR1942_14580
BATR1942_01785 BATR1942_01330
BATR1942_01785 BATR1942_14385
BATR1942_01785 BATR1942_01340
BATR1942_01785 BATR1942_14590
BATR1942_01785 BATR1942_20600
BATR1942_01785 BATR1942_02785
BATR1942_01785 BATR1942_01790
BATR1942_01785 BATR1942_01795
BATR1942_01785 BATR1942_02780
BATR1942_01785 BATR1942_05465
BATR1942_01785 BATR1942_01335
BATR1942_01785 BATR1942_14585
BATR1942_01785 BATR1942_14505
BATR1942_01785 BATR1942_19445
BATR1942_01785 BATR1942_20610
BATR1942_01790 BATR1942_14510
BATR1942_01790 BATR1942_19455
BATR1942_01790 BATR1942_02775
BATR1942_01790 BATR1942_01345
BATR1942_01790 BATR1942_17840
BATR1942_01790 BATR1942_01330
BATR1942_01790 BATR1942_14580
BATR1942_01790 BATR1942_14500
BATR1942_01790 BATR1942_01785
BATR1942_01790 BATR1942_20610
BATR1942_01790 BATR1942_14385
BATR1942_01790 BATR1942_20615
BATR1942_01790 BATR1942_05465
BATR1942_01790 BATR1942_14595
BATR1942_01795 BATR1942_01785
BATR1942_01795 BATR1942_02775
BATR1942_01795 BATR1942_14510
BATR1942_01795 BATR1942_14595
BATR1942_01795 BATR1942_19455
BATR1942_01795 BATR1942_14385
BATR1942_01795 BATR1942_05465
BATR1942_01795 BATR1942_20615
BATR1942_01795 BATR1942_20610
BATR1942_01795 BATR1942_14500
BATR1942_01795 BATR1942_14580
BATR1942_01795 BATR1942_01345
BATR1942_01795 BATR1942_17840
BATR1942_01795 BATR1942_01330
BATR1942_01895 BATR1942_13990
BATR1942_01895 BATR1942_16105
BATR1942_01895 BATR1942_03505
BATR1942_01895 BATR1942_00930
BATR1942_01895 BATR1942_00925
BATR1942_01895 BATR1942_00920
BATR1942_01895 BATR1942_03300
BATR1942_01930 BATR1942_11855
BATR1942_01930 BATR1942_11835
BATR1942_01930 BATR1942_11830
BATR1942_01965 BATR1942_18190
BATR1942_01965 BATR1942_19880
BATR1942_01965 BATR1942_16875
BATR1942_01965 BATR1942_08325
BATR1942_01965 BATR1942_01265
BATR1942_01965 BATR1942_17945
BATR1942_01965 BATR1942_20355
BATR1942_01990 BATR1942_00775
BATR1942_01990 BATR1942_00740
BATR1942_01990 BATR1942_03500
BATR1942_02000 BATR1942_10825
BATR1942_02000 BATR1942_08325
BATR1942_02000 BATR1942_08370
BATR1942_02000 BATR1942_01265
BATR1942_02000 BATR1942_17545
BATR1942_02000 BATR1942_17945
BATR1942_02000 BATR1942_16875
BATR1942_02000 BATR1942_08335
BATR1942_02000 BATR1942_12105
BATR1942_02000 BATR1942_17275
BATR1942_02000 BATR1942_12100
BATR1942_02005 BATR1942_02020
BATR1942_02005 BATR1942_02015
BATR1942_02005 BATR1942_02010
BATR1942_02010 BATR1942_02005
BATR1942_02010 BATR1942_02020
BATR1942_02010 BATR1942_02015
BATR1942_02015 BATR1942_02005
BATR1942_02015 BATR1942_02020
BATR1942_02015 BATR1942_02010
BATR1942_02020 BATR1942_01490
BATR1942_02020 BATR1942_02005
BATR1942_02020 BATR1942_20640
BATR1942_02020 BATR1942_14675
BATR1942_02020 BATR1942_02015
BATR1942_02020 BATR1942_14670
BATR1942_02020 BATR1942_05580
BATR1942_02020 BATR1942_02010
BATR1942_02020 BATR1942_03100
BATR1942_02025 BATR1942_19255
BATR1942_02110 BATR1942_09245
BATR1942_02155 BATR1942_14285
BATR1942_02155 BATR1942_14295
BATR1942_02155 BATR1942_14290
BATR1942_02185 BATR1942_06010
BATR1942_02185 BATR1942_20400
BATR1942_02185 BATR1942_06015
BATR1942_02185 BATR1942_04740
BATR1942_02185 BATR1942_13450
BATR1942_02185 BATR1942_13455
BATR1942_02185 BATR1942_14805
BATR1942_02185 BATR1942_13440
BATR1942_02185 BATR1942_09230
BATR1942_02185 BATR1942_06020
BATR1942_02185 BATR1942_13445
BATR1942_02245 BATR1942_05740
BATR1942_02245 BATR1942_02250
BATR1942_02245 BATR1942_00370
BATR1942_02245 BATR1942_07070
BATR1942_02250 BATR1942_19670
BATR1942_02250 BATR1942_12140
BATR1942_02250 BATR1942_02245
BATR1942_02250 BATR1942_02435
BATR1942_02250 BATR1942_05740
BATR1942_02250 BATR1942_08010
BATR1942_02250 BATR1942_10395
BATR1942_02250 BATR1942_15760
BATR1942_02250 BATR1942_00895
BATR1942_02250 BATR1942_02390
BATR1942_02250 BATR1942_07070
BATR1942_02250 BATR1942_08750
BATR1942_02250 BATR1942_09285
BATR1942_02255 BATR1942_16515
BATR1942_02255 BATR1942_18865
BATR1942_02255 BATR1942_15735
BATR1942_02255 BATR1942_08905
BATR1942_02255 BATR1942_06975
BATR1942_02255 BATR1942_13290
BATR1942_02255 BATR1942_20675
BATR1942_02255 BATR1942_10090
BATR1942_02255 BATR1942_15865
BATR1942_02255 BATR1942_10740
