ENSPTRP00000000311 ENSPTRP00000030818
ENSPTRP00000000311 ENSPTRP00000054518
ENSPTRP00000000311 ENSPTRP00000007808
ENSPTRP00000000311 ENSPTRP00000036949
ENSPTRP00000000311 ENSPTRP00000056828
ENSPTRP00000000311 ENSPTRP00000030651
ENSPTRP00000000319 ENSPTRP00000012165
ENSPTRP00000000319 ENSPTRP00000021544
ENSPTRP00000000319 ENSPTRP00000035395
ENSPTRP00000000319 ENSPTRP00000035939
ENSPTRP00000000319 ENSPTRP00000037075
ENSPTRP00000000319 ENSPTRP00000044339
ENSPTRP00000000319 ENSPTRP00000020809
ENSPTRP00000000319 ENSPTRP00000028391
ENSPTRP00000000319 ENSPTRP00000014319
ENSPTRP00000000319 ENSPTRP00000052763
ENSPTRP00000000319 ENSPTRP00000037787
ENSPTRP00000000366 ENSPTRP00000000540
ENSPTRP00000000369 ENSPTRP00000032465
ENSPTRP00000000369 ENSPTRP00000023641
ENSPTRP00000000369 ENSPTRP00000042795
ENSPTRP00000000369 ENSPTRP00000018245
ENSPTRP00000000369 ENSPTRP00000011569
ENSPTRP00000000369 ENSPTRP00000026912
ENSPTRP00000000369 ENSPTRP00000047678
ENSPTRP00000000369 ENSPTRP00000017051
ENSPTRP00000000369 ENSPTRP00000025987
ENSPTRP00000000369 ENSPTRP00000025859
ENSPTRP00000000369 ENSPTRP00000016507
ENSPTRP00000000369 ENSPTRP00000001190
ENSPTRP00000000369 ENSPTRP00000003457
ENSPTRP00000000369 ENSPTRP00000026618
ENSPTRP00000000369 ENSPTRP00000050982
ENSPTRP00000000369 ENSPTRP00000018854
ENSPTRP00000000369 ENSPTRP00000054330
ENSPTRP00000000369 ENSPTRP00000001871
ENSPTRP00000000369 ENSPTRP00000014908
ENSPTRP00000000369 ENSPTRP00000000229
ENSPTRP00000000369 ENSPTRP00000038304
ENSPTRP00000000369 ENSPTRP00000044953
ENSPTRP00000000369 ENSPTRP00000007251
ENSPTRP00000000369 ENSPTRP00000010339
ENSPTRP00000000369 ENSPTRP00000005216
ENSPTRP00000000369 ENSPTRP00000007250
ENSPTRP00000000369 ENSPTRP00000029009
ENSPTRP00000000369 ENSPTRP00000009733
ENSPTRP00000000371 ENSPTRP00000044191
ENSPTRP00000000371 ENSPTRP00000000871
ENSPTRP00000000371 ENSPTRP00000014832
ENSPTRP00000000371 ENSPTRP00000000273
ENSPTRP00000000371 ENSPTRP00000020031
ENSPTRP00000000378 ENSPTRP00000011536
ENSPTRP00000000378 ENSPTRP00000019133
ENSPTRP00000000378 ENSPTRP00000031077
ENSPTRP00000000378 ENSPTRP00000006747
ENSPTRP00000000383 ENSPTRP00000047638
ENSPTRP00000000387 ENSPTRP00000035190
ENSPTRP00000000387 ENSPTRP00000008536
ENSPTRP00000000400 ENSPTRP00000007781
ENSPTRP00000000400 ENSPTRP00000012061
ENSPTRP00000000400 ENSPTRP00000007275
ENSPTRP00000000400 ENSPTRP00000006877
ENSPTRP00000000400 ENSPTRP00000017261
ENSPTRP00000000400 ENSPTRP00000002368
ENSPTRP00000000400 ENSPTRP00000017238
ENSPTRP00000000400 ENSPTRP00000042446
ENSPTRP00000000400 ENSPTRP00000006879
ENSPTRP00000000400 ENSPTRP00000035064
ENSPTRP00000000400 ENSPTRP00000034263
ENSPTRP00000000400 ENSPTRP00000022194
ENSPTRP00000000400 ENSPTRP00000008974
ENSPTRP00000000400 ENSPTRP00000014814
ENSPTRP00000000400 ENSPTRP00000002365
ENSPTRP00000000400 ENSPTRP00000006880
ENSPTRP00000000400 ENSPTRP00000007782
ENSPTRP00000000400 ENSPTRP00000010216
ENSPTRP00000000400 ENSPTRP00000022705
ENSPTRP00000000400 ENSPTRP00000033933
ENSPTRP00000000400 ENSPTRP00000028112
ENSPTRP00000000400 ENSPTRP00000022308
ENSPTRP00000000400 ENSPTRP00000059277
ENSPTRP00000000400 ENSPTRP00000011810
ENSPTRP00000000400 ENSPTRP00000038459
ENSPTRP00000000400 ENSPTRP00000024791
ENSPTRP00000000400 ENSPTRP00000028196
ENSPTRP00000000400 ENSPTRP00000046022
ENSPTRP00000000400 ENSPTRP00000027084
ENSPTRP00000000400 ENSPTRP00000028405
ENSPTRP00000000400 ENSPTRP00000051735
ENSPTRP00000000400 ENSPTRP00000048002
ENSPTRP00000000400 ENSPTRP00000036748
ENSPTRP00000000400 ENSPTRP00000001844
ENSPTRP00000000400 ENSPTRP00000046677
ENSPTRP00000000400 ENSPTRP00000036052
ENSPTRP00000000400 ENSPTRP00000019305
ENSPTRP00000000400 ENSPTRP00000033097
ENSPTRP00000000400 ENSPTRP00000028508
ENSPTRP00000000400 ENSPTRP00000028877
ENSPTRP00000000400 ENSPTRP00000029298
ENSPTRP00000000400 ENSPTRP00000037150
ENSPTRP00000000400 ENSPTRP00000001964
ENSPTRP00000000400 ENSPTRP00000016382
ENSPTRP00000000400 ENSPTRP00000006581
ENSPTRP00000000400 ENSPTRP00000009715
ENSPTRP00000000400 ENSPTRP00000005056
ENSPTRP00000000400 ENSPTRP00000002366
