ENSLAFP00000019453 ENSLAFP00000010559
ENSLAFP00000019978 ENSLAFP00000025577
ENSLAFP00000019978 ENSLAFP00000020465
ENSLAFP00000019978 ENSLAFP00000027460
ENSLAFP00000019978 ENSLAFP00000025946
ENSLAFP00000019978 ENSLAFP00000007339
ENSLAFP00000019978 ENSLAFP00000002218
ENSLAFP00000019978 ENSLAFP00000012632
ENSLAFP00000019978 ENSLAFP00000000538
ENSLAFP00000019978 ENSLAFP00000013612
ENSLAFP00000019978 ENSLAFP00000014350
ENSLAFP00000019978 ENSLAFP00000008998
ENSLAFP00000019978 ENSLAFP00000001409
ENSLAFP00000019978 ENSLAFP00000011154
ENSLAFP00000019978 ENSLAFP00000013869
ENSLAFP00000020215 ENSLAFP00000001358
ENSLAFP00000020215 ENSLAFP00000007516
ENSLAFP00000020215 ENSLAFP00000008401
ENSLAFP00000020215 ENSLAFP00000002426
ENSLAFP00000020215 ENSLAFP00000001696
ENSLAFP00000020215 ENSLAFP00000026473
ENSLAFP00000020313 ENSLAFP00000011228
ENSLAFP00000020313 ENSLAFP00000017549
ENSLAFP00000020313 ENSLAFP00000028517
ENSLAFP00000020313 ENSLAFP00000018600
ENSLAFP00000020313 ENSLAFP00000005498
ENSLAFP00000020313 ENSLAFP00000023021
ENSLAFP00000020342 ENSLAFP00000007644
ENSLAFP00000020465 ENSLAFP00000025577
ENSLAFP00000020465 ENSLAFP00000027460
ENSLAFP00000020465 ENSLAFP00000006653
ENSLAFP00000020465 ENSLAFP00000025946
ENSLAFP00000020465 ENSLAFP00000007339
ENSLAFP00000020465 ENSLAFP00000002218
ENSLAFP00000020465 ENSLAFP00000012632
ENSLAFP00000020465 ENSLAFP00000000538
ENSLAFP00000020465 ENSLAFP00000013612
ENSLAFP00000020465 ENSLAFP00000014350
ENSLAFP00000020465 ENSLAFP00000008998
ENSLAFP00000020465 ENSLAFP00000001409
ENSLAFP00000020465 ENSLAFP00000011154
ENSLAFP00000020465 ENSLAFP00000013869
ENSLAFP00000020465 ENSLAFP00000019978
ENSLAFP00000020502 ENSLAFP00000005870
ENSLAFP00000021033 ENSLAFP00000023695
ENSLAFP00000021674 ENSLAFP00000027347
ENSLAFP00000022563 ENSLAFP00000014911
ENSLAFP00000022579 ENSLAFP00000023696
ENSLAFP00000023021 ENSLAFP00000005498
ENSLAFP00000023021 ENSLAFP00000011228
ENSLAFP00000023021 ENSLAFP00000020313
ENSLAFP00000023021 ENSLAFP00000018600
ENSLAFP00000023426 ENSLAFP00000011229
ENSLAFP00000023695 ENSLAFP00000021033
ENSLAFP00000023696 ENSLAFP00000022579
ENSLAFP00000024573 ENSLAFP00000018944
ENSLAFP00000024990 ENSLAFP00000005498
