SSMG_01488 SSMG_02443
SSMG_01488 SSMG_06032
SSMG_01488 SSMG_01531
SSMG_01488 SSMG_02442
SSMG_01488 SSMG_03089
SSMG_01488 SSMG_05575
SSMG_01488 SSMG_06033
SSMG_01488 SSMG_05078
SSMG_01489 SSMG_04190
SSMG_01489 SSMG_01487
SSMG_01489 SSMG_03088
SSMG_01489 SSMG_04192
SSMG_01499 SSMG_07108
SSMG_01499 SSMG_05974
SSMG_01499 SSMG_00433
SSMG_01499 SSMG_04472
SSMG_01517 SSMG_06535
SSMG_01517 SSMG_07211
SSMG_01517 SSMG_06692
SSMG_01517 SSMG_07215
SSMG_01521 SSMG_04646
SSMG_01521 SSMG_07508
SSMG_01521 SSMG_06364
SSMG_01521 SSMG_01295
SSMG_01521 SSMG_06956
SSMG_01521 SSMG_06312
SSMG_01521 SSMG_01613
SSMG_01521 SSMG_03854
SSMG_01521 SSMG_06860
SSMG_01525 SSMG_03227
SSMG_01531 SSMG_02443
SSMG_01531 SSMG_02442
SSMG_01531 SSMG_01488
SSMG_01531 SSMG_03089
SSMG_01531 SSMG_05575
SSMG_01531 SSMG_05078
SSMG_01534 SSMG_01535
SSMG_01534 SSMG_00956
SSMG_01535 SSMG_01534
SSMG_01535 SSMG_02248
SSMG_01564 SSMG_02168
SSMG_01572 SSMG_00580
SSMG_01572 SSMG_05305
SSMG_01572 SSMG_02348
SSMG_01572 SSMG_02252
SSMG_01572 SSMG_02347
SSMG_01572 SSMG_06938
SSMG_01572 SSMG_02246
SSMG_01574 SSMG_01311
SSMG_01574 SSMG_04879
SSMG_01574 SSMG_03986
SSMG_01574 SSMG_00712
SSMG_01574 SSMG_04887
SSMG_01574 SSMG_01375
SSMG_01574 SSMG_01973
SSMG_01574 SSMG_01147
SSMG_01578 SSMG_00220
SSMG_01584 SSMG_07159
SSMG_01584 SSMG_07273
SSMG_01605 SSMG_00435
SSMG_01613 SSMG_02856
SSMG_01613 SSMG_03910
SSMG_01613 SSMG_01296
SSMG_01613 SSMG_01521
SSMG_01628 SSMG_02864
SSMG_01628 SSMG_04639
SSMG_01649 SSMG_02864
SSMG_01649 SSMG_04639
SSMG_01661 SSMG_02864
SSMG_01661 SSMG_04639
SSMG_01664 SSMG_01357
SSMG_01664 SSMG_01442
SSMG_01664 SSMG_07608
SSMG_01664 SSMG_00247
SSMG_01664 SSMG_06353
SSMG_01664 SSMG_02517
SSMG_01664 SSMG_07399
SSMG_01664 SSMG_05813
SSMG_01664 SSMG_04338
SSMG_01664 SSMG_05960
SSMG_01664 SSMG_01680
SSMG_01664 SSMG_05961
SSMG_01664 SSMG_00711
SSMG_01664 SSMG_03666
SSMG_01664 SSMG_05033
SSMG_01664 SSMG_01457
SSMG_01664 SSMG_04240
SSMG_01664 SSMG_04066
SSMG_01664 SSMG_01443
SSMG_01664 SSMG_07607
SSMG_01680 SSMG_05961
SSMG_01680 SSMG_06124
SSMG_01680 SSMG_07607
SSMG_01680 SSMG_01664
SSMG_01680 SSMG_06870
SSMG_01680 SSMG_00609
SSMG_01680 SSMG_06901
SSMG_01680 SSMG_01711
SSMG_01680 SSMG_07899
SSMG_01680 SSMG_07900
SSMG_01680 SSMG_02517
SSMG_01680 SSMG_00717
SSMG_01680 SSMG_07608
SSMG_01680 SSMG_05960
SSMG_01680 SSMG_01986
SSMG_01680 SSMG_04066
SSMG_01680 SSMG_04338
SSMG_01680 SSMG_03461
SSMG_01680 SSMG_05813
SSMG_01680 SSMG_01801
SSMG_01680 SSMG_05526
SSMG_01699 SSMG_01704
SSMG_01703 SSMG_06145
SSMG_01703 SSMG_04790
SSMG_01703 SSMG_00980
SSMG_01703 SSMG_07442
SSMG_01703 SSMG_03118
SSMG_01703 SSMG_07276
SSMG_01704 SSMG_01446
SSMG_01704 SSMG_01699
SSMG_01711 SSMG_01442
SSMG_01711 SSMG_07608
SSMG_01711 SSMG_07607
SSMG_01711 SSMG_05960
SSMG_01711 SSMG_01357
SSMG_01711 SSMG_02517
SSMG_01711 SSMG_07399
SSMG_01711 SSMG_04338
SSMG_01711 SSMG_05813
SSMG_01711 SSMG_03666
SSMG_01711 SSMG_00711
SSMG_01711 SSMG_05961
SSMG_01711 SSMG_04066
SSMG_01711 SSMG_05033
SSMG_01711 SSMG_01680
SSMG_01711 SSMG_04240
SSMG_01711 SSMG_01457
SSMG_01711 SSMG_01443
SSMG_01711 SSMG_00247
SSMG_01711 SSMG_06353
SSMG_01719 SSMG_05033
SSMG_01719 SSMG_04240
SSMG_01719 SSMG_01457
SSMG_01719 SSMG_01333
SSMG_01719 SSMG_07730
SSMG_01719 SSMG_03365
SSMG_01719 SSMG_05562
SSMG_01719 SSMG_01357
SSMG_01719 SSMG_04316
SSMG_01719 SSMG_03666
SSMG_01719 SSMG_00711
SSMG_01720 SSMG_00198
SSMG_01720 SSMG_00233
SSMG_01720 SSMG_04467
SSMG_01720 SSMG_07916
SSMG_01720 SSMG_06368
SSMG_01720 SSMG_03864
SSMG_01720 SSMG_05279
SSMG_01720 SSMG_07113
SSMG_01720 SSMG_05547
SSMG_01720 SSMG_05612
SSMG_01728 SSMG_01737
SSMG_01732 SSMG_06682
SSMG_01732 SSMG_01820
SSMG_01737 SSMG_00262
SSMG_01737 SSMG_00270
