VIT_00s0187g00380.t01 VIT_11s0037g00250.t01
VIT_00s0187g00380.t01 VIT_04s0008g06620.t01
VIT_00s0187g00380.t01 VIT_12s0178g00170.t01
VIT_00s0187g00380.t01 VIT_18s0001g00770.t01
VIT_00s0187g00380.t01 VIT_09s0002g02390.t01
VIT_00s0187g00380.t01 VIT_18s0001g10680.t01
VIT_00s0187g00380.t01 VIT_12s0035g00200.t01
VIT_00s0187g00380.t01 VIT_02s0025g04620.t01
VIT_00s0187g00380.t01 VIT_03s0063g02080.t01
VIT_00s0187g00380.t01 VIT_10s0116g00860.t01
VIT_00s0187g00380.t01 VIT_03s0038g02460.t01
VIT_00s0187g00380.t01 VIT_07s0031g02840.t01
VIT_00s0187g00380.t01 VIT_15s0048g01160.t01
VIT_00s0194g00020.t01 VIT_12s0028g01400.t01
VIT_00s0194g00020.t01 VIT_07s0005g01150.t01
VIT_00s0194g00020.t01 VIT_06s0004g00130.t01
VIT_00s0194g00020.t01 VIT_01s0026g02490.t01
VIT_00s0194g00020.t01 VIT_14s0066g00920.t01
VIT_00s0194g00020.t01 VIT_08s0007g04170.t01
VIT_00s0194g00020.t01 VIT_13s0074g00210.t01
VIT_00s0194g00020.t01 VIT_15s0021g01330.t01
VIT_00s0194g00020.t01 VIT_03s0132g00150.t01
VIT_00s0194g00020.t01 VIT_07s0191g00190.t01
VIT_00s0194g00020.t01 VIT_02s0012g01170.t01
VIT_00s0194g00020.t01 VIT_03s0088g00410.t01
VIT_00s0194g00020.t01 VIT_15s0046g00350.t01
VIT_00s0194g00020.t01 VIT_04s0044g00120.t01
VIT_00s0194g00020.t01 VIT_08s0007g05490.t01
VIT_00s0194g00020.t01 VIT_10s0071g01060.t01
VIT_00s0194g00020.t01 VIT_02s0025g01500.t01
VIT_00s0194g00020.t01 VIT_01s0026g02630.t01
VIT_00s0194g00020.t01 VIT_08s0056g01420.t01
VIT_00s0194g00020.t01 VIT_03s0017g00650.t01
VIT_00s0194g00020.t01 VIT_08s0056g00190.t01
VIT_00s0194g00020.t01 VIT_06s0009g01720.t01
VIT_00s0194g00020.t01 VIT_17s0000g10280.t01
VIT_00s0194g00020.t01 VIT_09s0002g00950.t01
VIT_00s0194g00020.t01 VIT_13s0156g00170.t01
VIT_00s0194g00020.t01 VIT_19s0085g01200.t01
VIT_00s0194g00020.t01 VIT_16s0050g02660.t01
VIT_00s0194g00020.t01 VIT_06s0004g04080.t01
VIT_00s0194g00020.t01 VIT_05s0094g01630.t01
VIT_00s0194g00020.t01 VIT_16s0050g02180.t01
VIT_00s0194g00020.t01 VIT_05s0020g04480.t01
VIT_00s0194g00020.t01 VIT_05s0051g00580.t01
VIT_00s0194g00020.t01 VIT_01s0010g00240.t01
VIT_00s0194g00020.t01 VIT_00s0179g00350.t01
VIT_00s0194g00020.t01 VIT_08s0007g07600.t01
VIT_00s0194g00110.t01 VIT_09s0002g02340.t01
VIT_00s0194g00110.t01 VIT_00s1674g00010.t01
VIT_00s0194g00110.t01 VIT_09s0002g00820.t01
VIT_00s0194g00110.t01 VIT_09s0002g00810.t01
VIT_00s0194g00110.t01 VIT_11s0052g00820.t01
VIT_00s0194g00110.t01 VIT_10s0003g03830.t01
VIT_00s0194g00110.t01 VIT_00s0227g00110.t01
VIT_00s0194g00110.t01 VIT_19s0093g00510.t01
VIT_00s0194g00110.t01 VIT_16s0013g00330.t01
VIT_00s0194g00110.t01 VIT_17s0000g03690.t01
VIT_00s0194g00120.t01 VIT_07s0141g00210.t01
VIT_00s0194g00120.t01 VIT_14s0030g01560.t01
VIT_00s0194g00120.t01 VIT_06s0009g03740.t01
VIT_00s0194g00120.t01 VIT_14s0030g01520.t01
VIT_00s0194g00120.t01 VIT_05s0094g00780.t01
VIT_00s0194g00120.t01 VIT_10s0116g00710.t01
VIT_00s0194g00120.t01 VIT_18s0001g07960.t01
VIT_00s0194g00120.t01 VIT_18s0001g03660.t01
VIT_00s0194g00120.t01 VIT_14s0030g01550.t01
VIT_00s0194g00120.t01 VIT_00s0211g00070.t01
VIT_00s0194g00120.t01 VIT_14s0083g00460.t01
VIT_00s0194g00120.t01 VIT_19s0015g00380.t01
VIT_00s0194g00120.t01 VIT_08s0056g00820.t01
VIT_00s0194g00120.t01 VIT_11s0037g00340.t01
VIT_00s0194g00120.t01 VIT_08s0007g04310.t01
VIT_00s0194g00120.t01 VIT_05s0029g00310.t01
VIT_00s0194g00120.t01 VIT_00s0211g00160.t01
VIT_00s0194g00120.t01 VIT_17s0000g07310.t01
VIT_00s0194g00120.t01 VIT_19s0177g00310.t01
VIT_00s0194g00120.t01 VIT_12s0034g02380.t01
VIT_00s0194g00120.t01 VIT_14s0030g01540.t01
VIT_00s0194g00120.t01 VIT_15s0046g02300.t01
VIT_00s0194g00120.t01 VIT_04s0008g00770.t01
VIT_00s0194g00120.t01 VIT_14s0030g01480.t01
VIT_00s0194g00120.t01 VIT_18s0001g04340.t01
VIT_00s0194g00120.t01 VIT_02s0025g03670.t01
VIT_00s0199g00170.t01 VIT_19s0085g00260.t01
