MRA_1103 MtubH3_010100001830
MRA_1103 MRA_3641
MRA_1109 MtubH3_010100014880
MRA_1113 MtubH3_010100014900
MRA_1140 MtubH3_010100015060
MRA_1142 MtubH3_010100008795
MRA_1142 MtubH3_010100001835
MRA_1142 MtubH3_010100004702
MRA_1142 MRA_3289
MRA_1142 MtubH3_010100023455
MRA_1142 MtubH3_010100003912
MRA_1142 MtubH3_010100018414
MRA_1142 MtubH3_010100014063
MRA_1142 MRA_2139
MRA_1142 MtubH3_010100017860
MRA_1142 MtubH3_010100017011
MRA_1142 MtubH3_010100008910
MRA_1142 MtubH3_010100022233
MRA_1142 MtubH3_010100018119
MRA_1142 MtubH3_010100016996
MRA_1142 MtubH3_010100005842
MRA_1142 MtubH3_010100023260
MRA_1142 MtubH3_010100004712
MRA_1153 MtubH3_010100015160
MRA_1175 MtubH3_010100013242
MRA_1175 MtubH3_010100012090
MRA_1175 MRA_2269
MRA_1175 MtubH3_010100013457
MRA_1181 MtubH3_010100019758
MRA_1206 MRA_2366
MRA_1206 MtubH3_010100000838
MRA_1206 MRA_2367
MRA_1206 MtubH3_010100018494
MRA_1206 MtubH3_010100018489
MRA_1210 MtubH3_010100005737
MRA_1217 MtubH3_010100005692
MRA_1222 MtubH3_010100005672
MRA_1222 MtubH3_010100017268
MRA_1222 MtubH3_010100007713
MRA_1228 MtubH3_010100002090
MRA_1249 MtubH3_010100007523
MRA_1271 MtubH3_010100016621
MRA_1271 MtubH3_010100020453
MRA_1271 MtubH3_010100012390
MRA_1271 MtubH3_010100013192
MRA_1271 MtubH3_010100012900
MRA_1272 MtubH3_010100016821
MRA_1274 MtubH3_010100016831
MRA_1275 MtubH3_010100016836
MRA_1292 MtubH3_010100016941
MRA_1293 MtubH3_010100016951
MRA_1294 MtubH3_010100016951
MRA_1301 MtubH3_010100016991
MRA_1303 MtubH3_010100017001
MRA_1322 MtubH3_010100005952
MRA_1324 MtubH3_010100005962
MRA_1334 MtubH3_010100014013
MRA_1335 MtubH3_010100014018
MRA_1343 MtubH3_010100014063
MRA_1343 MtubH3_010100014058
MRA_1343 MRA_1344
MRA_1344 MRA_1343
MRA_1344 MtubH3_010100014058
MRA_1344 MtubH3_010100014063
MRA_1346 MtubH3_010100014073
MRA_1348 MtubH3_010100014088
MRA_1355 MtubH3_010100014123
MRA_1356 MtubH3_010100014133
MRA_1373 MtubH3_010100014223
MRA_1378 MtubH3_010100014253
MRA_1382 MtubH3_010100010466
MRA_1388 MtubH3_010100010501
MRA_1392 MtubH3_010100015685
MRA_1392 MtubH3_010100010506
MRA_1392 MtubH3_010100016266
MRA_1392 MtubH3_010100018908
MRA_1392 MtubH3_010100006613
MRA_1392 MtubH3_010100002040
MRA_1392 MtubH3_010100020963
MRA_1392 MtubH3_010100000349
MRA_1392 MtubH3_010100015695
MRA_1392 MtubH3_010100010521
MRA_1392 MtubH3_010100018913
MRA_1392 MtubH3_010100001293
MRA_1393 MtubH3_010100010506
MRA_1393 MtubH3_010100001293
MRA_1394 MtubH3_010100010991
MRA_1394 MtubH3_010100016401
MRA_1394 MtubH3_010100013277
MRA_1394 MtubH3_010100003732
MRA_1394 MRA_2908
MRA_1394 MtubH3_010100010501
MRA_1398 MtubH3_010100001820
MRA_1401 MtubH3_010100001835
MRA_1413 MtubH3_010100010571
MRA_1417 MRA_1855
MRA_1417 MtubH3_010100015010
MRA_1417 MtubH3_010100003837
MRA_1420 MtubH3_010100010606
MRA_1424 MtubH3_010100010626
MRA_1425 MtubH3_010100010631
MRA_1425 MtubH3_010100021928
MRA_1425 MtubH3_010100010626
MRA_1425 MtubH3_010100010611
MRA_1429 MtubH3_010100010391
MRA_1442 MtubH3_010100010731
MRA_1446 MtubH3_010100010756
MRA_1454 MtubH3_010100003857
MRA_1456 MtubH3_010100003857
MRA_1458 MtubH3_010100003837
MRA_1463 MtubH3_010100004952
MRA_1475 MtubH3_010100005012
MRA_1481 MtubH3_010100006803
MRA_1481 MtubH3_010100015165
MRA_1481 MtubH3_010100004747
MRA_1481 MtubH3_010100006256
MRA_1485 MtubH3_010100021183
MRA_1485 MRA_1927
MRA_1485 MtubH3_010100009979
MRA_1485 MtubH3_010100010019
MRA_1485 MtubH3_010100022830
MRA_1485 MtubH3_010100021188
MRA_1485 MtubH3_010100015060
MRA_1485 MtubH3_010100003922
MRA_1485 MtubH3_010100022183
MRA_1488 MtubH3_010100008323
MRA_1493 MtubH3_010100008293
MRA_1494 MtubH3_010100008288
MRA_1509 MtubH3_010100015290
MRA_1516 MtubH3_010100015330
MRA_1554 MtubH3_010100008690
MRA_1561 MtubH3_010100022008
MRA_1561 MRA_1562
MRA_1561 MRA_3552
MRA_1561 MtubH3_010100002533
MRA_1562 MtubH3_010100022008
MRA_1562 MRA_3552
MRA_1562 MtubH3_010100002533
MRA_1562 MRA_1561
MRA_1564 MtubH3_010100008775
MRA_1564 MtubH3_010100013422
MRA_1564 MtubH3_010100007182
MRA_1564 MtubH3_010100006007
MRA_1564 MtubH3_010100014315
MRA_1564 MtubH3_010100013152
MRA_1564 MRA_0089
MRA_1564 MtubH3_010100013402
MRA_1564 MRA_3595
MRA_1564 MtubH3_010100011693
MRA_1564 MtubH3_010100013322
MRA_1564 MtubH3_010100020903
MRA_1564 MtubH3_010100013432
MRA_1564 MtubH3_010100013332
MRA_1564 MtubH3_010100006523
MRA_1564 MRA_1927
MRA_1564 MtubH3_010100004732
MRA_1564 MtubH3_010100008765
MRA_1564 MtubH3_010100013342
MRA_1564 MtubH3_010100001133
MRA_1564 MtubH3_010100005047
MRA_1564 MtubH3_010100015520
MRA_1564 MtubH3_010100022298
MRA_1564 MtubH3_010100006463
MRA_1564 MtubH3_010100014840
MRA_1564 MtubH3_010100013327
MRA_1564 MtubH3_010100013347
MRA_1564 MRA_2527
