FUSPEROL_01262 FUSPEROL_00967
FUSPEROL_01262 FUSPEROL_00846
FUSPEROL_01263 FUSPEROL_00967
FUSPEROL_01263 FUSPEROL_00846
FUSPEROL_01265 FUSPEROL_01267
FUSPEROL_01265 FUSPEROL_00439
FUSPEROL_01267 FUSPEROL_02419
FUSPEROL_01267 FUSPEROL_01265
FUSPEROL_01267 FUSPEROL_01790
FUSPEROL_01269 FUSPEROL_01150
FUSPEROL_01269 FUSPEROL_02387
FUSPEROL_01275 FUSPEROL_00973
FUSPEROL_01275 FUSPEROL_01881
FUSPEROL_01280 FUSPEROL_00540
FUSPEROL_01280 FUSPEROL_00542
FUSPEROL_01281 FUSPEROL_02303
FUSPEROL_01281 FUSPEROL_02508
FUSPEROL_01296 FUSPEROL_02092
FUSPEROL_01296 FUSPEROL_02344
FUSPEROL_01296 FUSPEROL_01843
FUSPEROL_01296 FUSPEROL_02453
FUSPEROL_01296 FUSPEROL_02162
FUSPEROL_01296 FUSPEROL_01297
FUSPEROL_01297 FUSPEROL_02128
FUSPEROL_01297 FUSPEROL_01296
FUSPEROL_01297 FUSPEROL_01843
FUSPEROL_01297 FUSPEROL_02144
FUSPEROL_01297 FUSPEROL_00728
FUSPEROL_01302 FUSPEROL_01354
FUSPEROL_01304 FUSPEROL_00893
FUSPEROL_01304 FUSPEROL_00310
FUSPEROL_01304 FUSPEROL_01118
FUSPEROL_01304 FUSPEROL_02560
FUSPEROL_01307 FUSPEROL_00232
FUSPEROL_01310 FUSPEROL_01346
FUSPEROL_01310 FUSPEROL_01568
FUSPEROL_01310 FUSPEROL_01569
FUSPEROL_01310 FUSPEROL_00289
FUSPEROL_01326 FUSPEROL_02514
FUSPEROL_01326 FUSPEROL_00439
FUSPEROL_01326 FUSPEROL_01910
FUSPEROL_01326 FUSPEROL_00450
FUSPEROL_01333 FUSPEROL_01334
FUSPEROL_01334 FUSPEROL_01333
FUSPEROL_01334 FUSPEROL_02274
FUSPEROL_01336 FUSPEROL_01337
FUSPEROL_01336 FUSPEROL_01338
FUSPEROL_01337 FUSPEROL_01338
FUSPEROL_01337 FUSPEROL_01336
FUSPEROL_01338 FUSPEROL_01336
FUSPEROL_01338 FUSPEROL_01337
FUSPEROL_01344 FUSPEROL_01347
FUSPEROL_01344 FUSPEROL_01348
FUSPEROL_01345 FUSPEROL_01346
FUSPEROL_01345 FUSPEROL_01347
FUSPEROL_01345 FUSPEROL_00289
FUSPEROL_01346 FUSPEROL_01345
FUSPEROL_01346 FUSPEROL_00405
FUSPEROL_01346 FUSPEROL_01310
FUSPEROL_01346 FUSPEROL_00095
FUSPEROL_01346 FUSPEROL_01567
FUSPEROL_01347 FUSPEROL_01345
FUSPEROL_01347 FUSPEROL_01344
FUSPEROL_01347 FUSPEROL_00095
FUSPEROL_01347 FUSPEROL_00158
FUSPEROL_01348 FUSPEROL_01708
FUSPEROL_01348 FUSPEROL_01344
FUSPEROL_01348 FUSPEROL_02361
FUSPEROL_01354 FUSPEROL_01302
FUSPEROL_01356 FUSPEROL_01358
FUSPEROL_01358 FUSPEROL_01167
FUSPEROL_01358 FUSPEROL_01356
FUSPEROL_01358 FUSPEROL_00994
FUSPEROL_01378 FUSPEROL_00304
FUSPEROL_01378 FUSPEROL_00620
FUSPEROL_01393 FUSPEROL_01394
FUSPEROL_01394 FUSPEROL_01393
FUSPEROL_01415 FUSPEROL_02387
FUSPEROL_01415 FUSPEROL_01150
FUSPEROL_01426 FUSPEROL_00361
FUSPEROL_01428 FUSPEROL_01429
FUSPEROL_01429 FUSPEROL_01428
FUSPEROL_01430 FUSPEROL_00540
FUSPEROL_01434 FUSPEROL_01195
FUSPEROL_01434 FUSPEROL_01194
FUSPEROL_01434 FUSPEROL_01188
FUSPEROL_01434 FUSPEROL_01192
FUSPEROL_01435 FUSPEROL_01186
FUSPEROL_01436 FUSPEROL_01186
FUSPEROL_01436 FUSPEROL_01195
FUSPEROL_01453 FUSPEROL_01454
FUSPEROL_01454 FUSPEROL_01455
FUSPEROL_01454 FUSPEROL_01453
FUSPEROL_01455 FUSPEROL_01454
FUSPEROL_01491 FUSPEROL_00503
FUSPEROL_01491 FUSPEROL_01605
FUSPEROL_01491 FUSPEROL_02380
FUSPEROL_01491 FUSPEROL_00701
FUSPEROL_01492 FUSPEROL_01605
FUSPEROL_01492 FUSPEROL_00503
FUSPEROL_01492 FUSPEROL_02380
FUSPEROL_01492 FUSPEROL_00701
FUSPEROL_01538 FUSPEROL_01251
FUSPEROL_01538 FUSPEROL_02380
FUSPEROL_01560 FUSPEROL_00549
FUSPEROL_01560 FUSPEROL_00086
FUSPEROL_01566 FUSPEROL_01570
FUSPEROL_01566 FUSPEROL_00625
FUSPEROL_01566 FUSPEROL_01575
FUSPEROL_01567 FUSPEROL_01346
FUSPEROL_01567 FUSPEROL_00289
FUSPEROL_01567 FUSPEROL_01568
FUSPEROL_01567 FUSPEROL_01569
FUSPEROL_01568 FUSPEROL_00405
FUSPEROL_01568 FUSPEROL_01310
FUSPEROL_01568 FUSPEROL_01575
FUSPEROL_01568 FUSPEROL_01567
FUSPEROL_01569 FUSPEROL_00405
FUSPEROL_01569 FUSPEROL_01575
FUSPEROL_01569 FUSPEROL_01310
FUSPEROL_01569 FUSPEROL_01567
FUSPEROL_01570 FUSPEROL_01566
FUSPEROL_01570 FUSPEROL_01571
FUSPEROL_01570 FUSPEROL_01572
FUSPEROL_01571 FUSPEROL_01570
FUSPEROL_01571 FUSPEROL_01572
FUSPEROL_01571 FUSPEROL_01573
FUSPEROL_01572 FUSPEROL_01570
FUSPEROL_01572 FUSPEROL_01571
FUSPEROL_01572 FUSPEROL_01573
FUSPEROL_01573 FUSPEROL_01571
FUSPEROL_01573 FUSPEROL_01572
FUSPEROL_01575 FUSPEROL_01566
FUSPEROL_01575 FUSPEROL_01568
FUSPEROL_01575 FUSPEROL_01569
FUSPEROL_01605 FUSPEROL_00973
FUSPEROL_01605 FUSPEROL_01492
FUSPEROL_01605 FUSPEROL_01491
FUSPEROL_01643 FUSPEROL_01866
FUSPEROL_01682 FUSPEROL_02332
FUSPEROL_01682 FUSPEROL_00590
FUSPEROL_01682 FUSPEROL_01683
FUSPEROL_01683 FUSPEROL_02467
FUSPEROL_01683 FUSPEROL_01682
FUSPEROL_01683 FUSPEROL_00629
FUSPEROL_01684 FUSPEROL_02528
FUSPEROL_01698 FUSPEROL_01699
FUSPEROL_01698 FUSPEROL_01701
FUSPEROL_01699 FUSPEROL_01698
FUSPEROL_01699 FUSPEROL_01701
FUSPEROL_01701 FUSPEROL_01699
FUSPEROL_01701 FUSPEROL_01698
FUSPEROL_01708 FUSPEROL_01348
FUSPEROL_01715 FUSPEROL_00299
FUSPEROL_01715 FUSPEROL_01103
FUSPEROL_01715 FUSPEROL_00549
FUSPEROL_01733 FUSPEROL_01898
FUSPEROL_01751 FUSPEROL_00465
FUSPEROL_01751 FUSPEROL_01223
FUSPEROL_01759 FUSPEROL_01144
FUSPEROL_01765 FUSPEROL_00433
FUSPEROL_01765 FUSPEROL_02247
FUSPEROL_01765 FUSPEROL_02290
FUSPEROL_01765 FUSPEROL_01127
FUSPEROL_01773 FUSPEROL_02136
FUSPEROL_01773 FUSPEROL_01843
FUSPEROL_01780 FUSPEROL_00277
FUSPEROL_01780 FUSPEROL_01255
FUSPEROL_01780 FUSPEROL_02440
FUSPEROL_01781 FUSPEROL_01255
FUSPEROL_01781 FUSPEROL_02440
FUSPEROL_01781 FUSPEROL_00277
FUSPEROL_01781 FUSPEROL_00893
FUSPEROL_01782 FUSPEROL_01255
FUSPEROL_01782 FUSPEROL_00277
FUSPEROL_01782 FUSPEROL_02440
FUSPEROL_01788 FUSPEROL_01920
FUSPEROL_01788 FUSPEROL_00158
FUSPEROL_01790 FUSPEROL_01059
FUSPEROL_01790 FUSPEROL_01267
FUSPEROL_01790 FUSPEROL_00474
FUSPEROL_01804 FUSPEROL_00870
FUSPEROL_01804 FUSPEROL_01903
FUSPEROL_01804 FUSPEROL_02536
FUSPEROL_01819 FUSPEROL_00339
FUSPEROL_01828 FUSPEROL_02420
FUSPEROL_01843 FUSPEROL_02128
FUSPEROL_01843 FUSPEROL_00388
FUSPEROL_01843 FUSPEROL_00728
FUSPEROL_01843 FUSPEROL_01297
FUSPEROL_01843 FUSPEROL_02136
FUSPEROL_01843 FUSPEROL_00084
FUSPEROL_01843 FUSPEROL_01920
FUSPEROL_01843 FUSPEROL_01919
FUSPEROL_01843 FUSPEROL_01296
FUSPEROL_01843 FUSPEROL_01773
