ENSOGAP00000011845 ENSOGAP00000013827
ENSOGAP00000011845 ENSOGAP00000009821
ENSOGAP00000011942 ENSOGAP00000006705
ENSOGAP00000012090 ENSOGAP00000017288
ENSOGAP00000012138 ENSOGAP00000012139
ENSOGAP00000012139 ENSOGAP00000012138
ENSOGAP00000012152 ENSOGAP00000009518
ENSOGAP00000012152 ENSOGAP00000015044
ENSOGAP00000012152 ENSOGAP00000008942
ENSOGAP00000012152 ENSOGAP00000007607
ENSOGAP00000012152 ENSOGAP00000021181
ENSOGAP00000012152 ENSOGAP00000004405
ENSOGAP00000012152 ENSOGAP00000007429
ENSOGAP00000012340 ENSOGAP00000002669
ENSOGAP00000012717 ENSOGAP00000005588
ENSOGAP00000012943 ENSOGAP00000007144
ENSOGAP00000013120 ENSOGAP00000013227
ENSOGAP00000013120 ENSOGAP00000021585
ENSOGAP00000013120 ENSOGAP00000004614
ENSOGAP00000013120 ENSOGAP00000014694
ENSOGAP00000013120 ENSOGAP00000001933
ENSOGAP00000013120 ENSOGAP00000010635
ENSOGAP00000013120 ENSOGAP00000007910
ENSOGAP00000013120 ENSOGAP00000008283
ENSOGAP00000013190 ENSOGAP00000016270
ENSOGAP00000013227 ENSOGAP00000011522
ENSOGAP00000013227 ENSOGAP00000001572
ENSOGAP00000013227 ENSOGAP00000008203
ENSOGAP00000013227 ENSOGAP00000010172
ENSOGAP00000013227 ENSOGAP00000013120
ENSOGAP00000013227 ENSOGAP00000016945
ENSOGAP00000013227 ENSOGAP00000017428
ENSOGAP00000013227 ENSOGAP00000021585
ENSOGAP00000013227 ENSOGAP00000004614
ENSOGAP00000013227 ENSOGAP00000014694
ENSOGAP00000013227 ENSOGAP00000001933
ENSOGAP00000013227 ENSOGAP00000009457
ENSOGAP00000013227 ENSOGAP00000001945
ENSOGAP00000013227 ENSOGAP00000010635
ENSOGAP00000013227 ENSOGAP00000008969
ENSOGAP00000013227 ENSOGAP00000009151
ENSOGAP00000013227 ENSOGAP00000004119
ENSOGAP00000013227 ENSOGAP00000000990
ENSOGAP00000013227 ENSOGAP00000007910
ENSOGAP00000013227 ENSOGAP00000008283
ENSOGAP00000013260 ENSOGAP00000000886
ENSOGAP00000013260 ENSOGAP00000000674
ENSOGAP00000013439 ENSOGAP00000018926
ENSOGAP00000013439 ENSOGAP00000002751
