MAL7P1.134 MAL7P1.7
MAL7P1.139 PF14_0057
MAL7P1.141 PFF0480w
MAL7P1.145 PF13_0104
MAL7P1.147 PF08_0035
MAL7P1.147 PFE1120w
MAL7P1.147 PF07_0047
MAL7P1.147 PFL1705w
MAL7P1.147 PF13_0198
MAL7P1.147 MAL13P1.132
MAL7P1.147 MAL7P1.12
MAL7P1.147 PFF1440w
MAL7P1.147 PF14_0027
MAL7P1.150 PF13_0344
MAL7P1.151 PFE1050w
MAL7P1.151 PFI1090w
MAL7P1.155 PF07_0053
MAL7P1.155 PFD0775c
MAL7P1.155 PF11_0508
MAL7P1.155 MAL13P1.202
MAL7P1.155 PF10_0232
MAL7P1.155 PF14_0334
MAL7P1.155 PFA0220w
MAL7P1.155 PF11_0111
MAL7P1.155 PFL2195w
MAL7P1.155 PFC0390w
MAL7P1.155 PF11_0201
MAL7P1.155 PFD0090c
MAL7P1.155 PF10_0272
MAL7P1.155 PF14_0088
MAL7P1.155 MAL13P1.310
MAL7P1.155 PFD0545w
MAL7P1.155 PF13_0304
MAL7P1.155 PFF0575c
MAL7P1.155 PF13_0305
MAL7P1.16 PFL1745c
MAL7P1.160.2 PF14_0337
MAL7P1.162 PF10_0084
MAL7P1.162 PFI0180w
MAL7P1.162 PFI0315c
MAL7P1.162 PF11_0240
MAL7P1.162 PFI0155c
MAL7P1.162 PFD1050w
MAL7P1.162 PF10_0196
MAL7P1.167 MAL7P1.77
MAL7P1.167 PFI0225w
MAL7P1.167 PF14_0587
MAL7P1.17 PF10_0026
MAL7P1.170 MAL13P1.35
MAL7P1.170 PF07_0056
MAL7P1.170 PF08_0132
MAL7P1.170 MAL13P1.343
MAL7P1.170 PF14_0240
MAL7P1.170 MAL13P1.262
MAL7P1.170 PFL1125w
MAL7P1.170 PF10_0111
MAL7P1.170 PF14_0177
MAL7P1.170 PFI0470w
MAL7P1.170 PFL2120w
MAL7P1.170 PF14_0649
MAL7P1.170 PF13_0274
MAL7P1.170 PF11_0314
MAL7P1.170 PFB0310c
MAL7P1.170 PF11_0506
MAL7P1.171 PFF0770c
MAL7P1.171 PF14_0032
MAL7P1.171 PF07_0020
MAL7P1.171 PF10_0135
MAL7P1.171 PFE0040c
MAL7P1.171 MAL7P1.7
MAL7P1.171 MAL8P1.104
MAL7P1.171 PF07_0105
MAL7P1.171 PFI0930c
MAL7P1.172 PF10_0081
MAL7P1.173 PF10_0114
MAL7P1.174 PFI1485c
MAL7P1.174 PFL1385c
MAL7P1.174 PF14_0329
MAL7P1.176 PF10_0346
MAL7P1.176 PF14_0499
MAL7P1.176 PFA0430c
MAL7P1.176 PF14_0664
MAL7P1.176 PFD0840w
MAL7P1.176 PF07_0053
MAL7P1.176 PFB0340c
MAL7P1.176 PFE0770w
MAL7P1.176 PFI0190w
MAL7P1.176 PF13_0137
MAL7P1.176 PF13_0072
MAL7P1.176 PF10_0348
MAL7P1.176 PFL1280w
MAL7P1.176 PF13_0066
MAL7P1.176 PF10_0213
MAL7P1.176 PFA0110w
MAL7P1.176 PF07_0033
MAL7P1.176 PFL0815w
MAL7P1.176 PFI1120c
MAL7P1.176 PFL2390c
