AL1_12290 AL1_05020
AL1_12290 AL1_28250
AL1_12290 AL1_04650
AL1_12290 AL1_26810
AL1_12360 AL1_16690
AL1_12360 AL1_11940
AL1_12360 AL1_23370
AL1_12400 AL1_19890
AL1_12400 AL1_24210
AL1_12410 AL1_25660
AL1_12410 AL1_05620
AL1_12450 AL1_15900
AL1_12450 AL1_10960
AL1_12450 AL1_11040
AL1_12450 AL1_01930
AL1_12450 AL1_00380
AL1_12450 AL1_05240
AL1_12450 AL1_11360
AL1_12450 AL1_02150
AL1_12450 AL1_22920
AL1_12450 AL1_16560
AL1_12450 AL1_25580
AL1_13050 AL1_21080
AL1_13050 AL1_11510
AL1_13050 AL1_29730
AL1_13070 AL1_04860
AL1_13070 AL1_10350
AL1_13070 AL1_26810
AL1_13070 AL1_24790
AL1_13070 AL1_10360
AL1_13100 AL1_16240
AL1_13100 AL1_05010
AL1_13100 AL1_08080
AL1_13100 AL1_16250
AL1_13210 AL1_28200
AL1_13210 AL1_08300
AL1_13210 AL1_28190
AL1_13210 AL1_23010
AL1_13210 AL1_10420
AL1_13210 AL1_04240
AL1_13210 AL1_28210
AL1_13210 AL1_13430
AL1_13210 AL1_14040
AL1_13210 AL1_04250
AL1_13210 AL1_10680
AL1_13210 AL1_20170
AL1_13210 AL1_00900
AL1_13210 AL1_06900
AL1_13210 AL1_08310
AL1_13210 AL1_06570
AL1_13210 AL1_06910
